,Unnamed: 0,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,run_no,fold_change
0,1,20180522,gchure,Q294K,O2,R260,0.0,9812.891620681705,260.0,r3,0.1912993285235293
1,22,20180522,gchure,Q294K,O2,R260,0.0,9232.472411909228,260.0,r4,0.1544681079687356
2,30,20180522,gchure,Q294K,O2,R260,0.0,9726.062179480552,260.0,r1,0.1857894586722324
3,41,20180522,gchure,auto,O2,R0,0.0,6798.226257226043,0.0,r1,0.0
4,43,20180522,gchure,Q294K,O2,R260,0.0,9999.148330991247,260.0,r6,0.20311847901603186
6,79,20180522,gchure,delta,O2,R0,0.0,22557.1177636584,0.0,r1,1.0
7,92,20180522,gchure,Q294K,O2,R260,0.0,9301.466912360742,260.0,r2,0.15884623954121024
8,5,20180522,gchure,Q294K,O2,R260,0.1,10691.854791860736,260.0,r2,0.2871492610584459
9,7,20180522,gchure,delta,O2,R0,0.1,23085.755682790685,0.0,r1,1.0
10,31,20180522,gchure,Q294K,O2,R260,0.1,10997.774978204194,260.0,r6,0.30474464388514444
11,37,20180522,gchure,Q294K,O2,R260,0.1,10924.5327446965,260.0,r3,0.3005320250545471
13,85,20180522,gchure,Q294K,O2,R260,0.1,10451.220723424074,260.0,r4,0.2733088911047763
14,90,20180522,gchure,auto,O2,R0,0.1,5699.365778317129,0.0,r1,0.0
15,94,20180522,gchure,Q294K,O2,R260,0.1,10683.983605403137,260.0,r1,0.28669653990696786
16,10,20180522,gchure,Q294K,O2,R260,5.0,10424.424849775805,260.0,r2,0.31041043867572626
18,23,20180522,gchure,delta,O2,R0,5.0,21344.0231169547,0.0,r1,1.0
19,55,20180522,gchure,auto,O2,R0,5.0,5509.099156955766,0.0,r1,0.0
20,56,20180522,gchure,Q294K,O2,R260,5.0,9883.264166644427,260.0,r6,0.27623530247056244
21,57,20180522,gchure,Q294K,O2,R260,5.0,10711.833556605623,260.0,r1,0.3285607441369872
22,78,20180522,gchure,Q294K,O2,R260,5.0,10050.768723988382,260.0,r4,0.2868134749813426
23,80,20180522,gchure,Q294K,O2,R260,5.0,9992.816391088774,260.0,r3,0.2831536953040923
24,8,20180522,gchure,Q294K,O2,R260,10.0,11626.478853081673,260.0,r4,0.31785196327129106
25,15,20180522,gchure,Q294K,O2,R260,10.0,11717.421514009244,260.0,r3,0.3224328199847498
26,25,20180522,gchure,Q294K,O2,R260,10.0,11353.721130424343,260.0,r2,0.3041129321912829
28,65,20180522,gchure,auto,O2,R0,10.0,5316.239278022303,0.0,r1,0.0
29,69,20180522,gchure,delta,O2,R0,10.0,25169.001897812985,0.0,r1,1.0
30,75,20180522,gchure,Q294K,O2,R260,10.0,11689.933096114893,260.0,r6,0.3210482057413423
31,86,20180522,gchure,Q294K,O2,R260,10.0,11689.056542141288,260.0,r1,0.321004052995934
32,6,20180522,gchure,Q294K,O2,R260,25.0,10190.452163203221,260.0,r4,0.3729352400187677
33,19,20180522,gchure,Q294K,O2,R260,25.0,9881.244848687349,260.0,r3,0.3489169758574479
34,34,20180522,gchure,Q294K,O2,R260,25.0,10083.623401291601,260.0,r2,0.3646371134765888
36,61,20180522,gchure,auto,O2,R0,25.0,5389.343170479174,0.0,r1,0.0
37,72,20180522,gchure,delta,O2,R0,25.0,18263.18419575325,0.0,r1,1.0
38,77,20180522,gchure,Q294K,O2,R260,25.0,10554.710833804464,260.0,r6,0.4012297225967432
39,83,20180522,gchure,Q294K,O2,R260,25.0,9819.197924322983,260.0,r1,0.3440973634167974
40,18,20180522,gchure,auto,O2,R0,50.0,5295.27880959991,0.0,r1,0.0
41,24,20180522,gchure,Q294K,O2,R260,50.0,11106.382297864273,260.0,r6,0.35612632736109856
