,Unnamed: 0,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
1,14,20180611,sbarnes,Q294K,O3,R260,0.0,30533.99961913061,260.0,1.024866354335593
2,30,20180611,sbarnes,wt,O3,R260,0.0,19985.72746168988,260.0,0.6160243762889117
3,38,20180611,sbarnes,Q294R,O3,R260,0.0,29009.705445680916,260.0,0.9657860200688472
4,55,20180611,sbarnes,auto,O3,R0,0.0,4092.0738604660246,0.0,0.0
5,72,20180611,sbarnes,delta,O3,R0,0.0,29892.438607347125,0.0,1.0
8,22,20180611,sbarnes,Q294K,O3,R260,0.1,32051.998534268336,260.0,1.02108708097918
9,24,20180611,sbarnes,auto,O3,R0,0.1,3957.523455971969,0.0,0.0
10,28,20180611,sbarnes,delta,O3,R0,0.1,31471.802699770582,0.0,1.0
11,52,20180611,sbarnes,wt,O3,R260,0.1,20123.040740037224,260.0,0.5875319190019768
13,83,20180611,sbarnes,Q294R,O3,R260,0.1,30915.618233722947,260.0,0.979785606552896
14,2,20180611,sbarnes,delta,O3,R0,5.0,32421.560867108707,0.0,1.0
16,44,20180611,sbarnes,auto,O3,R0,5.0,3957.1027339878815,0.0,0.0
17,46,20180611,sbarnes,wt,O3,R260,5.0,24203.101345494484,260.0,0.7112729326102524
18,51,20180611,sbarnes,Q294R,O3,R260,5.0,30469.832418774917,260.0,0.9314327910545122
20,68,20180611,sbarnes,Q294K,O3,R260,5.0,32117.37240903757,260.0,0.9893133936838522
21,4,20180611,sbarnes,Q294K,O3,R260,10.0,30204.095868806202,260.0,0.972354873199804
22,15,20180611,sbarnes,Q294R,O3,R260,10.0,27983.12400104188,260.0,0.8901141648897231
23,36,20180611,sbarnes,delta,O3,R0,10.0,30950.67320460093,0.0,1.0
25,42,20180611,sbarnes,wt,O3,R260,10.0,25322.778851769122,260.0,0.7916038358751918
26,48,20180611,sbarnes,auto,O3,R0,10.0,3944.9249151973077,0.0,0.0
28,0,20180611,sbarnes,Q294K,O3,R260,25.0,28763.495431861968,260.0,0.9525949856213036
29,18,20180611,sbarnes,Q294R,O3,R260,25.0,27296.50432317362,260.0,0.8962853915194191
30,35,20180611,sbarnes,wt,O3,R260,25.0,28022.589300762604,260.0,0.9241557379239504
32,41,20180611,sbarnes,delta,O3,R0,25.0,29998.50228477877,0.0,1.0
33,50,20180611,sbarnes,auto,O3,R0,25.0,3946.261417369443,0.0,0.0
35,6,20180611,sbarnes,auto,O3,R0,50.0,3942.9632610088534,0.0,0.0
37,54,20180611,sbarnes,Q294K,O3,R260,50.0,27653.690145428358,260.0,0.9549976477312542
38,59,20180611,sbarnes,Q294R,O3,R260,50.0,26161.48915698891,260.0,0.8948962244029657
39,70,20180611,sbarnes,delta,O3,R0,50.0,28771.010681594693,0.0,1.0
41,75,20180611,sbarnes,wt,O3,R260,50.0,28042.989840275117,260.0,0.9706774830502396
42,3,20180611,sbarnes,Q294R,O3,R260,75.0,25878.698161396005,260.0,0.9073853035840842
43,16,20180611,sbarnes,Q294K,O3,R260,75.0,26337.955949798124,260.0,0.9263947075894208
44,19,20180611,sbarnes,wt,O3,R260,75.0,27482.84725668459,260.0,0.9737835640103972
46,26,20180611,sbarnes,delta,O3,R0,75.0,28116.22336931759,0.0,1.0
47,63,20180611,sbarnes,auto,O3,R0,75.0,3956.718511975516,0.0,0.0
50,5,20180611,sbarnes,Q294R,O3,R260,100.0,25197.230773827665,260.0,0.8786302249107201
51,27,20180611,sbarnes,wt,O3,R260,100.0,26833.967410041358,260.0,0.9462705475593612
52,53,20180611,sbarnes,delta,O3,R0,100.0,28134.09372242024,0.0,1.0
53,62,20180611,sbarnes,Q294K,O3,R260,100.0,26031.40766852613,260.0,0.9131036967296028
54,64,20180611,sbarnes,auto,O3,R0,100.0,3936.446932416629,0.0,0.0
56,10,20180611,sbarnes,wt,O3,R260,250.0,26144.79221171558,260.0,0.9382377523881984
57,21,20180611,sbarnes,Q294R,O3,R260,250.0,25020.923104843507,260.0,0.8908135100126254
60,69,20180611,sbarnes,delta,O3,R0,250.0,27608.446211966737,0.0,1.0
61,78,20180611,sbarnes,Q294K,O3,R260,250.0,26253.710838146133,260.0,0.9428338243929116
62,79,20180611,sbarnes,auto,O3,R0,250.0,3910.247767979436,0.0,0.0
63,8,20180611,sbarnes,delta,O3,R0,500.0,26248.10608205456,0.0,1.0
64,13,20180611,sbarnes,auto,O3,R0,500.0,3917.141970213065,0.0,0.0
65,17,20180611,sbarnes,Q294K,O3,R260,500.0,25662.42449949566,260.0,0.973772669212776
67,47,20180611,sbarnes,Q294R,O3,R260,500.0,24985.131566820677,260.0,0.9434429024690358
69,76,20180611,sbarnes,wt,O3,R260,500.0,25290.79388970145,260.0,0.9571307272019896
70,43,20180611,sbarnes,Q294K,O3,R260,1000.0,24327.93229317191,260.0,1.0065483378019977
72,57,20180611,sbarnes,auto,O3,R0,1000.0,3878.345998948991,0.0,0.0
73,58,20180611,sbarnes,delta,O3,R0,1000.0,24194.892682517846,0.0,1.0
74,61,20180611,sbarnes,wt,O3,R260,1000.0,23712.98843909497,260.0,0.9762802088894064
76,71,20180611,sbarnes,Q294R,O3,R260,1000.0,22905.0264788997,260.0,0.936511542846928
77,12,20180611,sbarnes,Q294R,O3,R260,5000.0,19985.146601701144,260.0,0.8822239464393239
79,32,20180611,sbarnes,auto,O3,R0,5000.0,3867.331607057374,0.0,0.0
80,33,20180611,sbarnes,delta,O3,R0,5000.0,22136.859496994664,0.0,1.0
82,39,20180611,sbarnes,wt,O3,R260,5000.0,21499.185291546502,260.0,0.9650962953564122
83,60,20180611,sbarnes,Q294K,O3,R260,5000.0,21671.59019837124,260.0,0.9745330420453998
