,Unnamed: 0,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
1,7,20180402,gchure,F164T,O2,R260,0.0,6804.756894884171,260.0,0.01997176644953473
2,10,20180402,gchure,wt,O2,R260,0.0,6693.767687190104,260.0,0.01070445595663605
3,52,20180402,gchure,Q294V,O2,R260,0.0,6639.327932576183,260.0,0.006158877880657167
4,58,20180402,gchure,auto,O2,R0,0.0,6565.566621051934,0.0,0.0
5,60,20180402,gchure,delta,O2,R0,0.0,18541.98715634265,0.0,1.0
7,6,20180402,gchure,wt,O2,R260,0.1,6296.1005119728625,260.0,-0.001378177110208233
8,21,20180402,gchure,F164T,O2,R260,0.1,6329.734215472801,260.0,0.0023188895130803193
9,24,20180402,gchure,delta,O2,R0,0.1,15406.040940981002,0.0,1.0
10,51,20180402,gchure,Q294V,O2,R260,0.1,6179.158786432457,260.0,-0.014232585200176909
11,56,20180402,gchure,auto,O2,R0,0.1,6308.638343994378,0.0,0.0
12,3,20180402,gchure,delta,O2,R0,5.0,16750.816128288527,0.0,1.0
13,11,20180402,gchure,Q294V,O2,R260,5.0,6260.217431361575,260.0,0.023631719427511067
14,14,20180402,gchure,auto,O2,R0,5.0,6006.306187043981,0.0,0.0
15,54,20180402,gchure,wt,O2,R260,5.0,6210.558869230278,260.0,0.0190099579509197
17,69,20180402,gchure,F164T,O2,R260,5.0,6512.95700513841,260.0,0.04715439055527018
19,33,20180402,gchure,F164T,O2,R260,10.0,7237.517685462494,260.0,0.13123464775316926
20,34,20180402,gchure,wt,O2,R260,10.0,7114.003591591017,260.0,0.11655641858846592
21,37,20180402,gchure,auto,O2,R0,10.0,6133.206775754549,0.0,0.0
22,66,20180402,gchure,delta,O2,R0,10.0,14547.988455856072,0.0,1.0
23,70,20180402,gchure,Q294V,O2,R260,10.0,6310.991816739259,260.0,0.021127706902380947
25,30,20180402,gchure,wt,O2,R260,25.0,8772.943844315669,260.0,0.2761199142248717
26,31,20180402,gchure,F164T,O2,R260,25.0,9082.971581355034,260.0,0.3067991442283284
27,38,20180402,gchure,auto,O2,R0,25.0,5982.625047233888,0.0,0.0
28,68,20180402,gchure,Q294V,O2,R260,25.0,6494.581982498658,260.0,0.05066141732621295
29,71,20180402,gchure,delta,O2,R0,25.0,16088.085223530152,0.0,1.0
30,8,20180402,gchure,auto,O2,R0,50.0,5812.750055158568,0.0,0.0
31,25,20180402,gchure,delta,O2,R0,50.0,15775.102053374409,0.0,1.0
32,26,20180402,gchure,Q294V,O2,R260,50.0,7135.2657284817615,260.0,0.13275134963711813
34,64,20180402,gchure,wt,O2,R260,50.0,8826.929126109342,260.0,0.3025569736434312
35,65,20180402,gchure,F164T,O2,R260,50.0,9971.517168721832,260.0,0.41744832086921424
37,16,20180402,gchure,F164T,O2,R260,75.0,12938.273693741328,260.0,0.6979740176678259
38,17,20180402,gchure,wt,O2,R260,75.0,11420.665066995134,260.0,0.5466127803486228
39,49,20180402,gchure,auto,O2,R0,75.0,5940.105541722614,0.0,0.0
40,55,20180402,gchure,Q294V,O2,R260,75.0,7894.637630690343,260.0,0.19493853036440234
41,57,20180402,gchure,delta,O2,R0,75.0,15966.507635316342,0.0,1.0
42,15,20180402,gchure,auto,O2,R0,100.0,5839.29877189957,0.0,0.0
43,19,20180402,gchure,Q294V,O2,R260,100.0,7516.728615128903,260.0,0.1730249485180328
44,43,20180402,gchure,F164T,O2,R260,100.0,12965.440886064916,260.0,0.7350533182728599
45,47,20180402,gchure,delta,O2,R0,100.0,15534.026946053655,0.0,1.0
46,59,20180402,gchure,wt,O2,R260,100.0,12245.268652028892,260.0,0.6607683851526116
48,2,20180402,gchure,Q294V,O2,R260,250.0,10656.507125461974,260.0,0.5038138638649944
49,32,20180402,gchure,auto,O2,R0,250.0,5867.678955785688,0.0,0.0
50,46,20180402,gchure,wt,O2,R260,250.0,13201.663972078115,260.0,0.7715798516186965
52,61,20180402,gchure,delta,O2,R0,250.0,15372.83257132719,0.0,1.0
53,62,20180402,gchure,F164T,O2,R260,250.0,14606.887943938556,260.0,0.9194179643623782
54,9,20180402,gchure,delta,O2,R0,500.0,14394.428466054906,0.0,1.0
55,12,20180402,gchure,F164T,O2,R260,500.0,14758.073109818106,260.0,1.0420340054175714
56,29,20180402,gchure,wt,O2,R260,500.0,13562.50335951634,260.0,0.903837042467132
58,48,20180402,gchure,auto,O2,R0,500.0,5743.227131547103,0.0,0.0
59,53,20180402,gchure,Q294V,O2,R260,500.0,11879.89456641313,260.0,0.7093428065751015
61,36,20180402,gchure,wt,O2,R260,1000.0,13091.856732219443,260.0,0.8990431661147837
62,41,20180402,gchure,auto,O2,R0,1000.0,6087.835169956324,0.0,0.0
63,42,20180402,gchure,Q294V,O2,R260,1000.0,13163.656731145105,260.0,0.9082594853090248
64,44,20180402,gchure,F164T,O2,R260,1000.0,13134.662644924485,260.0,0.9045377755965878
65,45,20180402,gchure,delta,O2,R0,1000.0,13878.36384115574,0.0,1.0
66,18,20180402,gchure,wt,O2,R260,5000.0,13165.794932385146,260.0,0.7932960259738512
67,20,20180402,gchure,Q294V,O2,R260,5000.0,13031.384805557871,260.0,0.7788884875475539
68,22,20180402,gchure,auto,O2,R0,5000.0,5765.015124774251,0.0,0.0
69,27,20180402,gchure,F164T,O2,R260,5000.0,14883.021047880618,260.0,0.9773669872150068
70,28,20180402,gchure,delta,O2,R0,5000.0,15094.167881496673,0.0,1.0
