,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
4,20190312,gchure,F164T,O2,R260,0.0,7675.326297878761,260.0,0.07686339704871567
5,20190312,gchure,delta,O2,R0,0.0,35609.14694599145,0.0,1.0
6,20190312,gchure,Y20I,O2,R124,0.0,26797.94742400877,124.0,0.7088138820280343
26,20190312,gchure,Y20I,O2,R260,0.0,19444.4430990382,260.0,0.46580061549875446
43,20190312,gchure,Y20I,O2,R1220,0.0,9126.448493563232,1220.0,0.12481902872067166
52,20190312,gchure,Y20I,O2,R60,0.0,31146.30489511944,60.0,0.8525152394207671
76,20190312,gchure,Q294V,O2,R260,0.0,6674.724256636348,260.0,0.043796228010346064
7,20190312,gchure,Y20I,O2,R260,0.1,16004.904809127234,260.0,0.5541060184831349
27,20190312,gchure,F164T,O2,R260,0.1,4758.815336641328,260.0,-0.017374471365235337
29,20190312,gchure,delta,O2,R0,0.1,24779.593885060774,0.0,1.0
33,20190312,gchure,Y20I,O2,R60,0.1,21923.29297885625,60.0,0.8548544145033121
46,20190312,gchure,Y20I,O2,R1220,0.1,8268.151032687678,1220.0,0.16095568397680884
47,20190312,gchure,Y20I,O2,R124,0.1,19004.573366766377,124.0,0.7065369644485188
59,20190312,gchure,Q294V,O2,R260,0.1,5426.055645793881,260.0,0.016531965148006342
20,20190312,gchure,Q294V,O2,R260,5.0,7010.874014118491,260.0,0.040672895230239245
41,20190312,gchure,Y20I,O2,R60,5.0,28302.38654565937,60.0,1.1561500839805188
51,20190312,gchure,Y20I,O2,R1220,5.0,14493.72456765785,1220.0,0.43270465375070744
79,20190312,gchure,Y20I,O2,R260,5.0,23092.378088154142,260.0,0.8831941077935831
80,20190312,gchure,F164T,O2,R260,5.0,9294.688516018656,260.0,0.1603235295584876
85,20190312,gchure,Y20I,O2,R124,5.0,31161.681595183254,124.0,1.3059505454989597
88,20190312,gchure,delta,O2,R0,5.0,25321.89397853018,0.0,1.0
18,20190312,gchure,Y20I,O2,R124,10.0,23516.167252769217,124.0,0.9611264005470455
34,20190312,gchure,delta,O2,R0,10.0,24269.28750008602,0.0,1.0
40,20190312,gchure,F164T,O2,R260,10.0,6616.854189358673,260.0,0.08883923339462492
56,20190312,gchure,Y20I,O2,R1220,10.0,14397.264204109217,1220.0,0.49043850465408056
57,20190312,gchure,Y20I,O2,R260,10.0,21312.57140823775,260.0,0.8473840034707423
70,20190312,gchure,Y20I,O2,R60,10.0,24179.716310430707,60.0,0.9953766286836788
89,20190312,gchure,Q294V,O2,R260,10.0,5375.658729946278,260.0,0.024772790746287868
15,20190312,gchure,Y20I,O2,R124,25.0,20293.471640756303,124.0,0.9471061346962851
36,20190312,gchure,delta,O2,R0,25.0,21153.8454596463,0.0,1.0
45,20190312,gchure,F164T,O2,R260,25.0,8857.233847891104,260.0,0.244031717372106
60,20190312,gchure,Y20I,O2,R1220,25.0,17796.93616156782,1220.0,0.7936246962065537
62,20190312,gchure,Y20I,O2,R260,25.0,19947.2724849462,260.0,0.9258225819967107
74,20190312,gchure,Y20I,O2,R60,25.0,19280.140698904397,60.0,0.8848088062913468
92,20190312,gchure,Q294V,O2,R260,25.0,5686.612091006663,260.0,0.049108956526084685
21,20190312,gchure,Y20I,O2,R1220,50.0,23097.636457457083,1220.0,0.8808564599961896
24,20190312,gchure,Y20I,O2,R260,50.0,26835.933447418625,260.0,1.0610277085552693
32,20190312,gchure,Y20I,O2,R60,50.0,32188.585129390452,60.0,1.3190045197161835
37,20190312,gchure,Q294V,O2,R260,50.0,5978.015499936192,260.0,0.05575789477854018
68,20190312,gchure,Y20I,O2,R124,50.0,25515.21732133262,124.0,0.9973743728069306
71,20190312,gchure,delta,O2,R0,50.0,25569.695348826528,0.0,1.0
81,20190312,gchure,F164T,O2,R260,50.0,17408.046279615945,260.0,0.6066405352358458
10,20190312,gchure,Y20I,O2,R124,75.0,21515.32830265591,124.0,0.9584554015810605
31,20190312,gchure,F164T,O2,R260,75.0,15782.931006446932,260.0,0.6298598475496383
39,20190312,gchure,delta,O2,R0,75.0,22240.079872563165,0.0,1.0
53,20190312,gchure,Y20I,O2,R260,75.0,21296.271367138794,260.0,0.9458985023692288
54,20190312,gchure,Y20I,O2,R1220,75.0,20679.987520803472,1220.0,0.9105715490087042
75,20190312,gchure,Q294V,O2,R260,75.0,6542.426292610164,260.0,0.1001706775437103
93,20190312,gchure,Y20I,O2,R60,75.0,20212.00327493955,60.0,0.8837455049294967
35,20190312,gchure,Q294V,O2,R260,100.0,5836.720356642094,260.0,0.06433779507186958
49,20190312,gchure,Y20I,O2,R1220,100.0,19313.22059716348,1220.0,0.8374860583026558
50,20190312,gchure,Y20I,O2,R124,100.0,20674.703237095247,124.0,0.9155944632813497
58,20190312,gchure,Y20I,O2,R60,100.0,19661.434902712506,60.0,0.8574631503341495
65,20190312,gchure,F164T,O2,R260,100.0,15448.96755654808,260.0,0.6157934471859513
67,20190312,gchure,delta,O2,R0,100.0,22145.94916751608,0.0,1.0
94,20190312,gchure,Y20I,O2,R260,100.0,20421.819116914186,260.0,0.9010864742020523
11,20190312,gchure,Q294V,O2,R260,250.0,11068.191500806111,260.0,0.3972841541276377
63,20190312,gchure,Y20I,O2,R260,250.0,20974.209621198457,260.0,0.9983658136744221
72,20190312,gchure,Y20I,O2,R1220,250.0,21110.42845795435,1220.0,1.0066313592714173
73,20190312,gchure,Y20I,O2,R124,250.0,21026.944589659775,124.0,1.001565688939502
86,20190312,gchure,Y20I,O2,R60,250.0,19453.58317883647,60.0,0.9060965835541905
91,20190312,gchure,delta,O2,R0,250.0,21001.141534851384,0.0,1.0
95,20190312,gchure,F164T,O2,R260,250.0,20535.682104390624,260.0,0.9717566510062094
0,20190312,gchure,Y20I,O2,R124,500.0,20697.10848520749,124.0,0.9755384300131592
1,20190312,gchure,Y20I,O2,R1220,500.0,20779.628461750228,1220.0,0.9805201895520094
17,20190312,gchure,Y20I,O2,R60,500.0,19904.54759437543,60.0,0.9276912547782362
23,20190312,gchure,delta,O2,R0,500.0,21102.300298616166,0.0,1.0
25,20190312,gchure,F164T,O2,R260,500.0,20591.726538214007,260.0,0.9691764854071101
42,20190312,gchure,Y20I,O2,R260,500.0,20700.44670298426,260.0,0.9757399593754897
77,20190312,gchure,Q294V,O2,R260,500.0,13670.535961528756,260.0,0.5513418153046087
9,20190312,gchure,Y20I,O2,R60,1000.0,18458.995750800063,60.0,0.8947020655702436
12,20190312,gchure,F164T,O2,R260,1000.0,20976.098600600708,260.0,1.0599428864245528
13,20190312,gchure,Y20I,O2,R124,1000.0,19668.946764113836,124.0,0.9741319937709549
16,20190312,gchure,Q294V,O2,R260,1000.0,16542.115437841283,260.0,0.7688641895303907
61,20190312,gchure,delta,O2,R0,1000.0,20062.992447626864,0.0,1.0
64,20190312,gchure,Y20I,O2,R1220,1000.0,20482.224279188245,1220.0,1.027521406994134
84,20190312,gchure,Y20I,O2,R260,1000.0,19998.95813523911,260.0,0.9957963249921903
14,20190312,gchure,Y20I,O2,R260,5000.0,18603.311736635296,260.0,0.8698280160384158
38,20190312,gchure,delta,O2,R0,5000.0,20645.04787926706,0.0,1.0
44,20190312,gchure,Y20I,O2,R1220,5000.0,20506.669699182956,1220.0,0.9911776248348513
69,20190312,gchure,Y20I,O2,R60,5000.0,19138.375919523245,60.0,0.9039413202891453
78,20190312,gchure,F164T,O2,R260,5000.0,20436.956228063973,260.0,0.9867330050551821
83,20190312,gchure,Q294V,O2,R260,5000.0,18149.813833120446,260.0,0.8409150137212529
87,20190312,gchure,Y20I,O2,R124,5000.0,20573.23170283758,124.0,0.9954213211143383
