,Unnamed: 0,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
0,4,20180924,mrazomej,Q294K,O1,R260,0.0,4410.316063064988,260.0,0.07081482090018804
1,56,20180924,mrazomej,delta,O1,R0,0.0,20319.500392476282,0.0,1.0
2,18,20180924,mrazomej,Q294K,O2,R260,0.0,9158.55005550197,260.0,0.31144855454087705
3,28,20180924,mrazomej,delta,O2,R0,0.0,22336.485806681278,0.0,1.0
4,44,20180924,mrazomej,wt,O2,R260,0.0,3377.093181016665,260.0,0.009365545263024909
6,27,20180924,mrazomej,delta,O1,R0,0.1,12328.050668943433,0.0,1.0
7,30,20180924,mrazomej,Q294K,O1,R260,0.1,4002.773962565044,260.0,0.11119017678637276
9,15,20180924,mrazomej,wt,O2,R260,0.1,3141.582196751054,260.0,0.014967557883092748
10,36,20180924,mrazomej,delta,O2,R0,0.1,15007.400396337409,0.0,1.0
11,68,20180924,mrazomej,Q294K,O2,R260,0.1,7255.568174229605,260.0,0.35648717212863
12,20,20180924,mrazomej,delta,O1,R0,5.0,13797.62796166765,0.0,1.0
13,80,20180924,mrazomej,Q294K,O1,R260,5.0,4095.105627124093,260.0,0.11054360678535403
14,29,20180924,mrazomej,wt,O2,R260,5.0,3615.833446303564,260.0,0.05066725675913655
16,62,20180924,mrazomej,delta,O2,R0,5.0,17229.45762361381,0.0,1.0
17,75,20180924,mrazomej,Q294K,O2,R260,5.0,7589.892233449117,260.0,0.32779435245855315
18,2,20180924,mrazomej,Q294K,O1,R260,10.0,4155.496669019348,260.0,0.11141572369612968
19,34,20180924,mrazomej,delta,O1,R0,10.0,14350.701789381397,0.0,1.0
20,39,20180924,mrazomej,Q294K,O2,R260,10.0,7928.6378139616945,260.0,0.3705197495227651
22,66,20180924,mrazomej,wt,O2,R260,10.0,4228.947821205938,260.0,0.09915176730703663
23,70,20180924,mrazomej,delta,O2,R0,10.0,16510.644299445412,0.0,1.0
24,1,20180924,mrazomej,Q294K,O1,R260,25.0,4252.117118604006,260.0,0.11538381657746614
25,31,20180924,mrazomej,delta,O1,R0,25.0,14375.789261673935,0.0,1.0
26,38,20180924,mrazomej,Q294K,O2,R260,25.0,8059.04542718428,260.0,0.3367250933982649
28,67,20180924,mrazomej,wt,O2,R260,25.0,6308.25700623511,260.0,0.22174776662860354
29,74,20180924,mrazomej,delta,O2,R0,25.0,18158.89779817258,0.0,1.0
30,51,20180924,mrazomej,Q294K,O1,R260,50.0,4418.729680360933,260.0,0.12583949288181093
31,83,20180924,mrazomej,delta,O1,R0,50.0,14493.783780321348,0.0,1.0
33,19,20180924,mrazomej,delta,O2,R0,50.0,17896.912592646022,0.0,1.0
