,Unnamed: 0,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
34,25,20180924,mrazomej,wt,O2,R260,50.0,7738.963707928809,260.0,0.31956152956161243
35,78,20180924,mrazomej,Q294K,O2,R260,50.0,8558.783628524441,260.0,0.37447783393919054
36,16,20180924,mrazomej,Q294K,O1,R260,75.0,4491.972515439028,260.0,0.1335298086209719
37,23,20180924,mrazomej,delta,O1,R0,75.0,14862.024520444109,0.0,1.0
38,21,20180924,mrazomej,Q294K,O2,R260,75.0,9404.459281342974,260.0,0.4247161900141778
40,81,20180924,mrazomej,delta,O2,R0,75.0,18223.144791214632,0.0,1.0
41,82,20180924,mrazomej,wt,O2,R260,75.0,11509.257387384643,260.0,0.5620219452017463
42,46,20180924,mrazomej,Q294K,O1,R260,100.0,4506.546331602116,260.0,0.1372547555603469
43,57,20180924,mrazomej,delta,O1,R0,100.0,14489.271250061072,0.0,1.0
44,10,20180924,mrazomej,Q294K,O2,R260,100.0,8708.42412303327,260.0,0.3631232689015815
45,52,20180924,mrazomej,delta,O2,R0,100.0,18863.486894272457,0.0,1.0
46,64,20180924,mrazomej,wt,O2,R260,100.0,12049.410491961227,260.0,0.5726538769558698
48,73,20180924,mrazomej,Q294K,O1,R260,250.0,4891.47478763409,260.0,0.18613782176072352
49,77,20180924,mrazomej,delta,O1,R0,250.0,13369.272968167055,0.0,1.0
50,33,20180924,mrazomej,Q294K,O2,R260,250.0,9783.778704454091,260.0,0.4589670601748372
51,45,20180924,mrazomej,wt,O2,R260,250.0,13037.80386894682,260.0,0.6775931224506171
53,72,20180924,mrazomej,delta,O2,R0,250.0,17836.500244989278,0.0,1.0
54,8,20180924,mrazomej,Q294K,O1,R260,500.0,5603.745479366488,260.0,0.2811929785225248
55,11,20180924,mrazomej,delta,O1,R0,500.0,12601.331577198735,0.0,1.0
56,5,20180924,mrazomej,delta,O2,R0,500.0,14901.943209352263,0.0,1.0
57,22,20180924,mrazomej,wt,O2,R260,500.0,13059.329798941579,260.0,0.8469032134547866
59,58,20180924,mrazomej,Q294K,O2,R260,500.0,10736.190159593045,260.0,0.6538810572767335
60,37,20180924,mrazomej,Q294K,O1,R260,1000.0,6408.2040624786705,260.0,0.3824314925249093
61,54,20180924,mrazomej,delta,O1,R0,1000.0,12168.89481566604,0.0,1.0
63,59,20180924,mrazomej,wt,O2,R260,1000.0,13851.176607270574,260.0,0.8498114892919509
64,69,20180924,mrazomej,delta,O2,R0,1000.0,15797.044243463488,0.0,1.0
65,71,20180924,mrazomej,Q294K,O2,R260,1000.0,11893.225452852035,260.0,0.6986903326152528
66,35,20180924,mrazomej,delta,O1,R0,5000.0,15047.168974241482,0.0,1.0
67,53,20180924,mrazomej,Q294K,O1,R260,5000.0,8046.476965383934,260.0,0.42355398913251613
68,7,20180924,mrazomej,Q294K,O2,R260,5000.0,14059.525668187556,260.0,0.7712427047719829
69,9,20180924,mrazomej,delta,O2,R0,5000.0,17368.768763142325,0.0,1.0
70,41,20180924,mrazomej,wt,O2,R260,5000.0,15947.349249790117,260.0,0.9017418563917196
