ep_RA.Q21A,ep_RA.Y20I,ep_RA.Q21M,sigma.1,sigma.2,sigma.3,logp
-12.171021104366085,-11.790510780443983,-11.718528723561574,2.0133811544053186,2.065566657825708,2.0811895641786182,-7290.699657204116
-12.084663129282099,-11.894300507229472,-11.78816803003904,2.018723643284611,2.073889842993952,2.06651561832051,-7290.878910212518
-12.171514426470953,-11.886137643175756,-11.725689717531559,2.049201961595444,2.100920314878105,2.0503410519365324,-7289.234897285254
-12.128908388568455,-11.851367518528363,-11.83258226966489,2.0702536332645174,2.1206937570247826,2.07121973703866,-7290.3827992400375
-12.273894254801872,-11.914028549570647,-11.77056436175049,2.0302061550336146,2.06781453563712,2.0556417362851476,-7291.004261713022
-12.09134420330196,-11.98823378107817,-11.824804544969794,2.0577699652447428,2.0276917920919493,2.1093348784398143,-7294.590396156917
-12.131244588439127,-11.842740030703991,-11.74393333223218,2.056368889747467,2.0792687874575133,2.09679240001327,-7289.469982821065
-12.152787382138065,-11.815769809436063,-11.696972269604979,2.054755263138151,2.062363034962189,2.003890357800223,-7292.713094037932
-12.28322800463888,-11.850536849509412,-11.696678780746641,2.021228677992227,2.074085942541364,2.1120720221945217,-7292.151384967534
-12.175750719637739,-11.790646943322502,-11.676839497327489,2.081320538969735,2.1034153503057715,2.0920594912297052,-7291.376796555123
-12.126641370902481,-11.953586523238664,-11.831638387034403,2.0705406189770494,2.1471716255327444,2.0388650638930232,-7292.7872899363165
-12.101051400349483,-11.918390448298194,-11.834587327051338,2.0432506158899564,2.0929479305756638,2.116158611095839,-7291.069147999308
-12.25222671520051,-11.952552606604446,-11.832437330202312,2.077647740961266,2.0517832077593097,2.0523254287004393,-7292.47503695515
-12.173139595389696,-11.935352632380683,-11.739447908476999,2.02763695116701,2.11083615884909,2.0843874006630987,-7289.5499576679895
-12.164468593327797,-11.986811459993564,-11.76263203430006,2.0336198091899647,2.116822038898253,2.0898265225515082,-7290.7582747538645
-12.203256952477288,-11.853851986442935,-11.715920029661326,2.017892280783332,2.0804063873326153,2.131710952117776,-7290.639051886753
-12.160946597951812,-11.777011408898552,-11.765885781040222,2.050513824062595,2.1391831463947213,2.1187815035989184,-7291.507576402655
-12.15013024184139,-11.842017511456113,-11.716590733150777,2.0645720587666814,2.114000580950261,2.0588422497482903,-7289.810316614421
-12.240963024365017,-11.883118773684718,-11.713315914156237,2.049366733440619,2.052206583605049,2.078685160252491,-7290.339574356836
-12.206114206053845,-11.871807807347508,-11.721137068922525,2.023265540780746,2.0536737234248927,2.0308529802306263,-7290.854128019758
-12.09664705658082,-11.904632528903399,-11.806330119456124,2.10356077118003,2.046866728202859,2.088759629231006,-7292.744416059282
-12.176227441590004,-11.761136539977738,-11.569177827016231,2.041934249338181,2.1095090676725907,2.057070670875434,-7295.581871868819
-12.110610112042547,-11.885677095469141,-11.808125400410859,2.088399380534611,2.0849094160087702,2.0822230807906754,-7290.619200768785
-12.196970350732464,-11.904736811511073,-11.833352572184568,2.0736102079558667,2.102295455396712,2.0766060893156393,-7289.808270881128
-12.19376679218998,-11.865370279931332,-11.783792800089861,2.047636479490756,2.101438524523157,2.0438823603785075,-7289.2185366199255
-12.184310192407422,-12.029693648735668,-11.685493464094693,2.0259115791201867,2.0854034927051215,2.1038787148403015,-7293.287508879864
-12.147118575065527,-11.800388293830466,-11.881453497726412,2.062030728552159,2.045853595565915,2.0793759583142926,-7292.2895403567245
-12.135854050150042,-11.832631946685394,-11.960033889864635,2.040225010867786,2.075837376669956,2.0965371054695527,-7294.187909113653
-12.200619265376899,-11.910046778264709,-11.73348748961693,2.024896585951107,2.097790066904322,2.0983208905347768,-7289.38746540477
-12.283956629967822,-11.940051613591745,-11.74048045469627,2.063293677093731,2.08785405839442,2.0865822834285037,-7291.421355532556
-12.227759241285616,-11.9310970914597,-11.767138259415681,2.066228447491292,2.081079615989243,2.06249053225167,-7289.829094320476
-12.166857800344326,-11.843487003613431,-11.857633032296953,2.044330552377637,2.0513047439514813,2.0906971627285076,-7290.552310526965
-12.169805900397336,-11.799661309969718,-11.720162223315404,2.0668128719427945,2.146003715822139,2.0359487228757347,-7291.913662281248
-12.262726075850496,-11.804254819623775,-11.757007888586188,1.9655335508683205,2.034566711131733,2.122094140579749,-7296.4580655606
-12.241557477320534,-11.823937753299262,-11.775924652448024,2.0273322914103518,2.05524012125024,2.088055801163942,-7290.423411551591
-12.147767427763291,-11.86295877934766,-11.728099277009337,2.0756617603858425,2.1319656182758475,2.0442328402395087,-7290.69711994144
-12.186864978274922,-11.912689260334831,-11.74566697684365,2.0626435202823723,2.06483833054186,2.0789509178958836,-7289.340528258581
-12.16587752983525,-11.958780917815794,-11.734383731942232,2.027187170922077,2.0228411695106883,2.0550970524356313,-7292.380085079837
-12.147036192911395,-11.866076806062619,-11.819439763127617,2.0527565339799936,2.1066069900213886,2.076408250609736,-7289.265092877392
-12.079546970607973,-11.831840075549364,-11.72710323102653,2.0570166111647845,2.1513865149639235,2.0932016850763704,-7292.467815592049
-12.163486195388876,-11.906521418200407,-11.86731875389447,2.0658116396926474,2.0876186326505537,2.076012818050625,-7290.298372923734
-12.235537884966114,-11.898920108079809,-11.815424747100135,2.050832794199979,2.1438898345008583,2.079128346113793,-7290.721124646835
-12.13572875575226,-11.790537744532154,-11.827702414000534,2.0419496602738993,2.0985842774308208,2.0041262632112016,-7292.786265178727
-12.15467727121528,-11.90713175491495,-11.839388879310551,2.0315253781897273,2.107714303467777,2.041785470707121,-7290.31286584909
-12.206761011226343,-11.915243683663483,-11.798561581696594,2.0464150520375544,2.1078504491673433,2.023580171678752,-7290.487505568526
-12.222047611801196,-11.889140072496813,-11.703211996457828,2.0250565348891634,2.0212940395725525,2.0672405629787547,-7292.011155373913
-12.201234155556934,-11.847572208415816,-11.729175559768485,2.014393101101823,2.1147728481572736,2.0688016031047964,-7289.7494252864535
-12.18737137285956,-11.839103457229953,-11.81218117447476,2.023553557591458,2.050914579943171,2.0933983554434374,-7290.08218919413
-12.180885911698713,-11.833307477297865,-11.749320309459984,2.026293024742593,2.0762219892588694,2.055446702756476,-7289.359877939738
-12.222149118290652,-11.822541451932297,-11.724305159410058,2.0615233551367473,2.121467883703734,2.0298817431906886,-7291.059374793092
-12.13268953231325,-11.852970161676096,-11.819024248533937,2.0426991941466532,2.1331111425569715,2.0872676532642775,-7290.163377915199
-12.215131050049436,-11.947347770230579,-11.82359495983093,2.0463112220595807,2.1324519121298096,2.124266889047459,-7291.477983398222
-12.192910676013026,-12.009187245593056,-11.761123582814925,2.0686419286714415,2.122152887526789,2.0433728520017884,-7292.319486459616
-12.15848896985073,-11.798204931077954,-11.853423457365862,2.031863967631105,2.0911084893140073,2.0097279595098128,-7292.586626675573
-12.189852423292052,-11.899652007070621,-11.756819215156602,2.046921179774899,2.044353395012329,2.123135399361676,-7290.505134991404
-12.122996826122115,-11.943461811220574,-11.9151967512587,2.056257752727554,2.1410971313408713,2.094804611420068,-7293.820843819472
-12.18211084213374,-11.8966168475821,-11.817356736945506,2.083932147644469,2.0738160472976754,2.0866850916256867,-7289.920785010139
-12.132687353183467,-11.851958262703786,-11.808556594799711,2.0279623435890395,2.08247130617417,2.081028752941567,-7289.4479352550625
-12.082280507646313,-11.89092015728831,-11.713303140547527,2.084502106618752,2.144784006842013,1.9804423349515967,-7296.964700552204
-12.183294992861631,-11.853765353770555,-11.711918524587531,2.0645368206211105,2.1142135637108694,2.085032903764079,-7289.496758978787
-12.040887125746456,-11.946609786827205,-11.775485692137034,2.0688309270889693,2.077508015894729,2.1256577613156744,-7293.869539172734
-12.11312110084676,-11.97100017018245,-11.81026826647659,2.059022416719758,2.1412643744232587,2.124783104528332,-7292.852010370721
-12.16653049707248,-11.855843476036082,-11.812862736667118,2.0555442937534867,2.069090036757804,2.0971184400617373,-7289.333177171144
-12.210876433277107,-11.801545097414866,-11.838845194563342,2.1295240470606833,2.096802105096512,2.0673962538259874,-7293.758837237065
-12.217075811099237,-11.821013522752137,-11.707196881139568,1.9349001877324792,2.034640338852535,2.1417292833021926,-7299.83802391682
-12.145336354081161,-11.89756322998162,-11.798477270947563,2.103468613780167,2.073257888822322,2.0638926319174025,-7290.964168274805
-12.13117762376635,-11.85483184596634,-11.750734244128521,2.040648448226646,2.0977510622470805,2.1049406030891373,-7289.404085750023
-12.166441636198137,-11.87829235384919,-11.706150179599046,2.075044350104071,2.0781664791796444,2.0719656157197863,-7289.671781790207
-12.112687452492953,-11.948515584566879,-11.9031652914713,2.06136482681827,2.1080700908798407,2.104623098428538,-7292.993238351286
-12.185368869833225,-11.885443138924408,-11.751101793209607,2.028515318740632,2.0803648513163884,2.1079864563285122,-7289.190777517112
-12.177314820420893,-11.898039690940129,-11.765907280330996,2.066467741504359,2.092575574111638,2.0815273427293386,-7288.91670187076
-12.17392782162442,-11.908526502959205,-11.77551975482388,2.057498856625145,2.118736919014655,2.0659452591064977,-7289.240505475144
-12.157905959384957,-11.795295451080603,-11.78466333411584,2.0208512492535986,2.021078594062665,2.156667174422319,-7294.561095751026
-12.201022371061402,-11.846200688023828,-11.698502484904854,2.0623740884232333,2.0800155089381662,2.0347758670066565,-7290.432825559092
-12.137325037844711,-11.923363028040354,-11.725287081953022,2.1122072056348387,2.138598727471317,2.0695103426219417,-7292.74125619296
-12.20501512929453,-11.883928468263528,-11.827477475971122,2.0806687571990623,2.060846497081848,2.0295196427331286,-7291.286083811511
-12.135870151247454,-11.888247501970431,-11.81626189468362,2.0388026819314766,2.118814225471391,2.1229697494585436,-7290.3890403547775
-12.205767920411434,-11.751961187110606,-11.68384447652711,2.011339756801454,2.135936927615359,2.060242377881645,-7293.133426123618
-12.072126560504994,-11.763272111870002,-11.796685365458368,2.024922993249136,2.115355137678372,2.060608634583834,-7292.956047219615
-12.216933808036718,-11.894709504580097,-11.762693977089091,2.0862808638868264,2.061456531045443,2.069332484190808,-7290.20298337023
-12.147355915274643,-11.871055526789899,-11.788128341695463,2.0380912970803062,2.0866768864148466,2.164369244268017,-7291.7011904593855
-12.198972125624234,-11.841333899611785,-11.850580670361154,2.0536792580364374,2.1380397884414877,2.1203042063927326,-7291.327407440647
-12.213481684724421,-11.836226580661256,-11.840969700353849,2.047479490383135,2.109198740356718,2.1040229732102484,-7290.065264695712
-12.216046212222514,-11.873363116313907,-11.769140000034236,2.0647691697180903,2.14442966224928,2.0845691071693877,-7290.257411797495
-12.157615448054855,-11.857002152689443,-11.659586152735917,2.079947984946231,2.044653638105488,2.0707431998328967,-7291.843863020249
-12.257308417267959,-11.821337048828562,-11.742229450863078,2.090713851166885,2.0693521824822496,2.0755913036703846,-7291.387380053697
-12.256398586985664,-11.764729247496652,-11.853454688849936,2.0312782532851203,2.089048895311175,2.0242467392366015,-7293.606351700512
-12.108547985829377,-11.8276218257409,-11.828247895363043,2.0320241677057163,2.1301111891837965,2.078615510957033,-7290.982207055908
-12.184919798558857,-11.999229378853853,-11.710417003942027,2.032760807243153,2.0527616482465647,2.0642105759862313,-7292.091676610077
-12.243813926983979,-11.820746788646522,-11.781241045505649,2.1392357630929637,2.0323197823407693,2.0555654781324897,-7295.9253668730835
-12.21550040276626,-11.90350225187876,-11.680543417012569,2.038640876280388,2.0825195146265307,2.0226988129804413,-7291.338531685257
-12.245672340795435,-11.827213239947826,-11.727757480245426,2.0615596977996744,2.0663208377383087,2.054000066660026,-7290.536112349123
-12.270044278511888,-11.830149995588439,-11.64378849737369,2.0262717909824044,2.0544466279785296,2.06112369523114,-7293.232192010751
-12.20910137284363,-11.890804282179374,-11.735786521875827,2.069494724652036,2.0668206459055125,2.1285457422582157,-7290.478563509794
-12.199550137416814,-11.999919510945684,-11.754611105989882,2.0707596559213495,2.0858778944340846,2.0644245994918933,-7291.326774789396
-12.245685965568182,-11.891365635749368,-11.812724693973163,2.079524444951252,2.067704761190515,2.102368383670114,-7290.737371824556
-12.165971405175547,-11.848768931721708,-11.745486598332604,2.05970782037603,2.1803814186620225,2.082610010997785,-7292.188356634544
-12.166220296667477,-11.954548445824202,-11.720691186356026,2.027047655519882,2.010314422010562,2.0482997430051246,-7293.490235583098
-12.13434687149169,-11.836893049927076,-11.709594107373736,2.0114248478107797,2.113377203096102,2.0828139920538944,-7290.414724539534
-12.16788419625263,-11.945293154014346,-11.79840807710397,2.0823854879799395,2.0894113581248472,2.1192658152811825,-7290.822779966105
-12.211616809382141,-11.77835434670782,-11.792709513157837,1.9862297673142422,2.095477528449955,2.144889468698358,-7293.736076412926
-12.141458860091662,-11.916961596768603,-11.891191205597952,2.082547918373628,2.079715046851745,2.0737804834774516,-7291.880833422372
-12.169181926442246,-11.855651077593809,-11.81881360473346,2.083675580997807,2.095182843267146,2.013443086181179,-7291.623726536528
-12.1415962365621,-11.910488230031879,-11.83442251726425,2.0742200238918675,2.08307399174756,2.0805473979604567,-7290.067127615134
-12.230126508692704,-11.897378347001972,-11.820142035343922,2.0729641899633506,2.1355023678505867,2.1324789524291115,-7291.85319716689
-12.128702192002756,-11.931122545998525,-11.751113250429468,2.0809085679452766,2.1366375388071375,2.059911722404865,-7291.20506683676
-12.173961946513417,-11.878811944429675,-11.711570688102872,2.0499496958455614,2.0985625448977694,2.0640920145785575,-7289.127478651286
-12.237882407369352,-11.926142084239576,-11.717074440977825,2.0441146150201495,2.085994540637195,2.1047419592723,-7290.178254449171
-12.16611523474312,-11.827601354681432,-11.757391807976692,2.076255664439134,2.0780597934830123,2.078486581145981,-7289.514239031453
-12.112282953541142,-11.812651687516187,-11.728519599899444,2.0389091009008196,2.0960089587254482,2.0454796025854445,-7290.5844040204975
-12.232438410469225,-11.84855196270602,-11.779636544634073,2.0458402357851617,2.0883105885828526,2.0886316932010778,-7289.23442747569
-12.112419286744958,-11.766775289972312,-11.735880050825184,2.0110824841665766,2.1058632912264317,2.089842000052116,-7291.826503641529
-12.222387394469894,-11.856714592067611,-11.768875955588596,2.0608416576939295,2.1074388715249963,2.0446243647385636,-7289.682148922922
-12.145556506081912,-11.865136464647458,-11.748959257776885,2.0587544458383853,2.1292066581257894,2.008148658399658,-7291.729413184765
-12.176586413718697,-11.723701968383113,-11.795431562615832,2.1064031870624684,2.057467437687097,2.0402694322153083,-7294.82503217635
-12.272407027584032,-11.831663653979753,-11.776467887963827,2.0286487105413453,2.076818392073996,2.0603763872778194,-7290.779309171488
-12.142501072974229,-11.868645732515638,-11.817273801754082,2.0410878590102137,2.1145058766164984,2.0822263382399533,-7289.401546498511
-12.0835745672165,-11.91169791478442,-11.700641464717386,2.026284194186487,2.0993872711101598,2.101080449925385,-7291.415027530258
-12.119440066919347,-11.936750283592627,-11.801725874743436,2.05448766680161,2.1001903087536924,2.0436543287733437,-7290.5012452072715
-12.137885220373306,-11.888807265126891,-11.700540847460534,1.994260726608779,2.1179420147885706,2.121158031089139,-7291.965608988877
-12.146203691156265,-11.826839767453876,-11.722925256058279,2.0993249705652843,2.1174299321187164,2.0631504494931336,-7291.251802677461
-12.295935577484476,-11.860437095141917,-11.776116411972126,2.0072811808368334,2.082886024238264,2.060881881261054,-7292.090759957759
-12.196899212064979,-11.786495312829613,-11.74318194043346,2.0344831735181783,2.1040551661619467,2.028568808774596,-7290.926490436142
-12.226821068804409,-11.728548318217337,-11.742592407976101,2.0588904478454064,2.0447767105113086,2.05707412279794,-7293.256045414312
-12.166242359412939,-11.932921421537602,-11.896204284753782,2.054679442719341,2.061948749274757,2.097267411116463,-7291.788146856499
-12.158596023922675,-11.89273741883603,-11.722959003401265,2.0670692272789912,2.0638753139567623,2.076256889522325,-7289.561011014561
-12.26317695766216,-11.84969202953762,-11.743675826905546,2.0371634002618726,2.0843998879010415,2.1203493393847905,-7290.755333869696
-12.171499473937608,-11.9355109715052,-11.70248945101389,2.060211952085729,2.103853035680552,2.122502633627834,-7290.602792795772
-12.129071139390637,-11.872811645978912,-11.71897140231617,2.0751637475901945,2.098669771745265,2.084329824892188,-7289.850259482302
-12.178741030269576,-11.894068709400127,-11.752898325848477,2.0364100453327225,2.0912977102196493,2.0597056446049984,-7288.852571655697
-12.28506537829768,-11.852430709420181,-11.74817460447159,2.003309554202112,2.0608828367781844,2.1164789622620495,-7292.732079606215
-12.207997297445992,-11.936781226805724,-11.919096309561477,2.0899012696557238,2.0187338143534466,2.0423719262653446,-7296.436305591631
-12.279688459073563,-11.906860430588905,-11.821597666654215,2.0495659681815277,2.0362615256193455,2.005167910631528,-7294.665174417506
-12.135772031415495,-11.853062298092748,-11.789016545671098,2.0680418856136455,2.0776281863542883,2.1429599618830775,-7291.027582524515
-12.199969993007201,-11.873963681739207,-11.91887767749755,2.053866286380242,2.107721187064614,2.0912746590828366,-7291.838952026874
-12.252361085453407,-11.937420865947498,-11.797306732363435,1.9913308802182605,2.077299905470966,2.086091136754445,-7291.961703882009
-12.283005410391503,-11.80818625605992,-11.745687877611095,2.010863140421246,2.0885973998876612,2.100111424218568,-7292.052231900953
-12.190284659565831,-11.88910614710806,-11.906326566992377,2.01892555179667,2.0484501393267025,2.085318077112886,-7292.333443840418
-12.106096677068484,-11.880703108913593,-11.789649458406565,2.0013495415268774,2.052639978363119,2.081386892409807,-7291.365881786613
-12.176580412136497,-11.7758608200204,-11.80424681043707,2.05405961603325,2.066032939934993,2.0621321809861946,-7290.507145266272
-12.173287807179573,-11.988417849717463,-11.794450095948084,2.037284937144535,2.0514767009912216,2.098643920396804,-7291.464735953841
-12.051832412561888,-11.80249879247681,-11.719732590919403,2.013338729146029,2.068177081805088,2.032219924192905,-7294.221543139357
-12.143103749466473,-11.821187606996986,-11.77496264580275,2.0584418887596656,2.1133182371645303,2.056876407549435,-7289.701838198183
-12.200378703217279,-11.838423368639186,-11.860734093351144,2.010199338888528,2.0960237335901595,2.07069450418897,-7290.654249983675
-12.14359617702761,-11.955878467622155,-11.801993758336852,2.063354424125214,2.0910366967297525,2.1059159977846043,-7290.364270678327
-12.129152174455802,-11.88345090125931,-11.750191564005611,2.0311534490079923,2.0531594589042528,2.030080233254864,-7290.844309237826
-12.191082805237192,-11.832811493236534,-11.722497764846784,2.087767862114996,2.0956838793980883,2.059598786539648,-7290.2142030168225
-12.182636951938226,-11.868442191484027,-11.877249872507393,2.0377597541321038,2.1154435803436584,2.076764450557383,-7290.4353216314485
-12.174815708504092,-11.824869167008265,-11.835354596258808,2.050716182804194,2.0825443251549838,2.09607642782321,-7289.670113046757
-12.116913376109956,-11.919257855674974,-11.834905295713526,2.073272871039221,2.0635888435165826,2.0862919945802267,-7290.907502153193
-12.208608716798112,-11.84912337108644,-11.707763727624238,2.096281696188261,2.0667546931763106,2.0875380831977832,-7290.926773346248
-12.129315102594196,-11.933660368357044,-11.780013340170907,2.031626936225288,2.067362983376219,2.0445507113333514,-7290.382618039836
-12.227974214578426,-11.842155262199643,-11.771201034113808,2.098960525014087,2.049113900882669,2.0992842760112613,-7291.604421711955
-12.234901073914113,-11.912916635462247,-11.700494090738925,2.0068765043547345,2.0417046345580676,2.089404697317326,-7291.896643299354
-12.228408063578561,-11.867473576350777,-11.823105823859532,2.029784477299847,2.1043385399155174,2.0407860006227403,-7290.227928909682
-12.19103805784089,-11.798656051125349,-11.750451143329537,2.0590781107437026,2.097803090648145,2.064835442042436,-7289.606988943982
-12.27236987757306,-11.871765351650591,-11.789094930771746,2.058067896803841,2.0267998850677804,2.0368479078550283,-7292.912744065458
-12.090749364557105,-11.863743188960793,-11.809064553136299,2.0625283357407604,2.114162079114786,2.09285979950786,-7290.663278054627
-12.14419403741973,-11.847274921341779,-11.724726122149997,2.064804913437972,2.0864001989731937,2.037512877549418,-7290.077447609733
-12.190111667519178,-11.826029984341277,-11.851985474398196,2.027684435372527,2.100477365544767,2.081191139531502,-7290.025972425623
-12.191075318075336,-11.872293283617621,-11.550737012285303,1.9999742213960154,2.0990115984735342,2.104702138104758,-7295.7031524849735
-12.206016794131108,-11.743620145793734,-11.787939190693661,2.0145752897722042,2.0674640643712987,2.055102609710733,-7292.045084748153
-12.167666193190664,-11.914295118849791,-11.760670428259832,2.023886078214003,2.031634007328645,2.0697302464711886,-7290.749955034409
-12.169411280240706,-11.885614256058314,-11.636442010345679,2.031373547565234,2.1016967497286116,2.131308174864948,-7291.936194329978
-12.133250119789329,-11.865244026195468,-11.839787410772749,2.041352180530474,2.076583613770777,2.074887232639597,-7289.7493467616505
-12.173555498347106,-11.83747796858587,-11.881344310402865,2.0659081226129383,2.1386188203504957,2.0283526029066596,-7292.795056223631
-12.138708250869291,-11.925672727894117,-11.799255162625828,2.0178769666250806,2.0628185696156507,2.060558520919979,-7290.2780074398825
-12.212975765171853,-11.872874138304386,-11.611739038069103,2.0177096728116366,2.0819382530249864,2.0886075939933866,-7292.279335487024
-12.147890064613934,-11.85178818763275,-11.738767275042498,2.065863984737824,2.1177473443458172,2.0514165959173134,-7289.787847320652
-12.175224517060274,-11.862211236537066,-11.841498505202262,2.051027331810395,2.067860715823479,2.1071863267963606,-7289.881688423941
-12.149675684404624,-11.881058693098868,-11.69272540677556,2.021830322038072,2.0887604145125995,2.0875823215521807,-7289.789741154843
-12.171678845667802,-11.85039549012561,-11.751989331693904,2.0704275501721456,2.1533375201135496,2.1751512797938286,-7294.260215842223
-12.1440990818374,-11.981114101967082,-11.784141972355991,2.023940571732255,2.058936126215998,2.0670936998271863,-7291.232957802922
-12.225734038503333,-11.876123582131095,-11.7225867830381,2.0086458779231706,2.0677644896602727,2.071410678834316,-7290.22503523371
-12.232733694705853,-11.919391240772843,-11.732107293174122,2.079320921725214,2.075051541781904,2.052053154457886,-7290.549460651816
-12.124272876687133,-11.924439018444453,-11.709555600310466,2.110106170713924,2.0769459060954825,2.1028161199618496,-7292.364286814366
-12.2849309996194,-11.984283373415622,-11.740246735378317,2.092039124657638,2.17825494140956,2.028690288631274,-7297.508467742462
-12.186290294582617,-11.977832900594537,-11.699013765700585,1.9777836439580327,2.052366302293938,2.0761416294125103,-7293.962610277853
-12.183298923048264,-11.921091436989391,-11.793883792008389,2.1070411907180278,2.0520238166339326,2.0054953008004524,-7293.974275164494
-12.219423721823295,-11.859572935035354,-11.737264018742879,2.0462519975866917,2.094110581166353,2.0714952512297162,-7289.04099601815
-12.169212295450373,-11.875874904436369,-11.815198412753986,2.083826171984724,2.056032888444489,2.1456854576536077,-7291.986581757347
-12.23090442963099,-11.852746302132772,-11.88467068518588,2.0342122099760918,2.059353069184059,2.0817055004484746,-7291.4069684559945
-12.195589526213453,-11.955225970484113,-11.740338316458859,1.9938148498223278,2.077912569622943,2.0728452348161097,-7291.1888693921555
-12.203817930057165,-11.832482552384075,-11.77462180075753,2.0706639723439766,2.070751794044021,2.036651634022964,-7290.201651319979
-12.200351725358159,-11.89104930600065,-11.813324205040633,2.0010989175511305,2.1081494701893213,2.1170846437931727,-7290.748536132028
-12.225116917387846,-11.747893631965843,-11.850045180031177,2.0389649765748046,2.0945927177449377,2.04353896955477,-7292.497496532333
-12.222560899490816,-11.885925339710086,-11.770491849570247,2.055110120802696,2.092187784619527,2.1130783632596746,-7289.470405236341
-12.27810009519558,-11.87316748024657,-11.833230692405754,1.9971314637257493,2.092845033834861,2.082556652509911,-7292.240616976919
-12.281802534987735,-11.921250509437904,-11.800123353460057,2.048722568257033,2.0621371972798026,2.0963337984209653,-7291.417737301449
-12.148587044573166,-11.87110398274575,-11.753440481853564,2.022242406536607,2.15590059506064,2.0589846206228954,-7290.99959732004
-12.239485483103579,-11.87170279767228,-11.843952597606567,2.0599341134181524,2.0444391540834546,2.0771484103773297,-7291.076688744332
-12.228819776435,-11.876600841513147,-11.932318835270149,2.0592875317698476,2.114127183669582,2.0922975046824197,-7292.935307358029
-12.175391762662482,-11.83359056831971,-11.691290352812471,1.9975224577746364,2.0714383078775773,2.1002243159760314,-7291.150011961131
-12.323850983358671,-11.838485086164514,-11.871895763146913,2.0114734747498932,2.0914630751977823,2.075832232935035,-7294.680546347799
-12.15685431535105,-11.896477685422514,-11.76290455434922,2.061801919000318,2.0553153421177326,2.0607779302998863,-7289.606912193124
-12.049407751015321,-11.831090569819258,-11.732033668396989,2.0865949145951057,2.0587983907229312,2.086739269166259,-7293.244190835074
-12.10467851153411,-11.847943446372623,-11.81543227787394,2.0987278221124415,2.1112995408432695,2.1086582937654543,-7291.937124352111
-12.200077864309408,-11.926646321274934,-11.799398019671223,2.0198330840241008,2.077715282550478,2.1283134085603255,-7290.571932858915
-12.263900973447187,-11.780237565774927,-11.799706366507705,2.0912640469364403,2.058613329926345,2.140655896926373,-7294.247072459024
-12.124476038188684,-11.89312807598442,-11.778841655926717,2.0230672902610407,2.0495112526516883,2.051354502977194,-7290.548449827343
-12.199343534194991,-11.801012804709533,-11.730598274712555,2.0072520674714966,2.016054805128276,2.0790875562622984,-7293.012850326432
-12.167430092350777,-11.816374349306416,-11.777061393846576,2.0286019234299495,2.096007705956524,2.1021967420884935,-7289.450350356266
