ep_RA.Q21A,ep_RA.Y20I,ep_RA.Q21M,sigma.1,sigma.2,sigma.3,logp
-12.08111486141785,-11.880987190560282,-11.691341270189737,2.0519545281733222,2.1050202704574543,2.0957241370450785,-7291.248580722121
-12.22518594831771,-11.859794540412985,-11.762817343710875,2.090959748060621,2.1353126299925633,2.144235273552741,-7292.6075869300985
-12.127568912392093,-11.975913089497766,-11.838202686034865,2.041844380835175,2.1095803310101737,2.082681171313649,-7291.271867402215
-12.152725433602892,-11.750035525486846,-11.786707011818887,2.0716975743964885,2.0787946086527556,2.0031570224304427,-7293.740825574552
-12.175405269393929,-11.855757605806646,-11.765978865762209,2.104473872517573,2.054981179466543,2.1027862893377534,-7291.280688880281
-12.230050802302236,-11.772656493048478,-11.78761414905319,2.036488847038791,2.090323713503474,2.0646158387335167,-7290.578029694646
-12.222144313932338,-11.807976561436075,-11.749921889159733,2.0887827234441914,2.0669240216387683,2.0794861555807245,-7290.793157115131
-12.197928835915429,-11.772768345002135,-11.833468364646937,1.9893765197490778,2.128199721125267,2.073264687078509,-7292.853712848591
-12.168161449381337,-11.844171498741892,-11.74859562101081,2.00308595638778,2.1453909709383194,2.0561805717310584,-7291.2026127002055
-12.333255940665687,-11.820444519389664,-11.727559271562836,2.015430992839332,2.070253515985904,2.074307572848251,-7294.277819293322
-12.183627788640116,-11.946262652019128,-11.769711687795272,2.021870980092604,2.031575135963167,2.1416094862294224,-7292.832870803141
-12.186685912610992,-11.93927947514597,-11.698153881539362,2.0414766984113544,2.085508029526625,2.0946014491656926,-7289.9135287966365
-12.273443877651662,-11.901215508481606,-11.797688678632094,2.035730632931864,2.065127912017891,2.0514662688643917,-7291.051419883672
-12.192182585479202,-11.873628738893984,-11.798974408825979,2.0541024248650195,2.096597441118436,2.08721229956676,-7288.826539012419
-12.168832903690097,-11.757155068457045,-11.643441427232842,2.0587302200282926,2.1058611734958945,2.1193079578039065,-7293.131000145655
-12.186865015504432,-11.789787378291011,-11.770579654845557,2.0170682635369492,2.1327821759280403,2.024871441356817,-7291.9081753971095
-12.163917565479352,-11.909678339024538,-11.617217173544338,2.0476349562053398,2.0817103047639214,2.1186555408017673,-7292.219489872925
-12.209580449607747,-11.903830466917503,-11.763326432200849,2.0447802419434518,2.1578618381439023,2.115638058603828,-7291.298298091283
-12.127738026223778,-11.856614032419136,-11.869065643763578,2.0927032242815975,2.0743677516019567,2.0653453876802073,-7291.800022838634
-12.175561718950007,-11.880947892527194,-11.688224333976528,2.0029276041898303,2.108119462741461,2.083993014318839,-7290.509030525655
-12.202524241673228,-11.857195997358557,-11.709528659777614,2.0217236883924756,2.1775599627009252,2.038602184338439,-7293.232385969484
-12.281568876192315,-11.836853645013372,-11.836014863433526,2.0835327925361944,2.0890245533297094,2.1035322627437787,-7292.197114980084
