repressor,N,fold_change,operator,energy
3.57,64,1.046,O1,-15.3
4.751,64,0.9676,O1,-15.3
5.478,64,1.023,O1,-15.3
6.545,64,1.168,O1,-15.3
7.211,64,0.8455,O1,-15.3
8.019,64,1.036,O1,-15.3
9.012,64,0.9151,O1,-15.3
10.46,64,0.9279,O1,-15.3
12.14,64,0.9721,O1,-15.3
14.15,64,1.23,O1,-15.3
24.26,64,0.7943,O1,-15.3
37.11,64,0.3499,O1,-15.3
47.48,64,0.1952,O1,-15.3
57.77,64,0.3151,O1,-15.3
89.35,64,0.1175,O1,-15.3
114,64,0.01867,O1,-15.3
130.3,64,0.01138,O1,-15.3
138.4,64,0.01418,O1,-15.3
147.6,64,0.008884,O1,-15.3
161.6,64,0.01029,O1,-15.3
174.2,64,0.004945,O1,-15.3
196.1,64,0.007024,O1,-15.3
226.6,64,0.005509,O1,-15.3
259,64,0.005295,O1,-15.3
293.8,64,0.005946,O1,-15.3
5.234,52,1.05,O1,-15.3
11.65,52,0.7199,O1,-15.3
17.19,52,0.6175,O1,-15.3
32.38,52,0.2127,O1,-15.3
45.28,52,0.06673,O1,-15.3
54.13,52,0.05659,O1,-15.3
63.6,52,0.09209,O1,-15.3
73.3,52,0.03169,O1,-15.3
82.46,52,0.02863,O1,-15.3
93.74,52,0.01881,O1,-15.3
103,52,0.01482,O1,-15.3
114.9,52,0.01158,O1,-15.3
127,52,0.01087,O1,-15.3
140.8,52,0.01052,O1,-15.3
156.1,52,0.01439,O1,-15.3
172.9,52,0.009423,O1,-15.3
196.7,52,0.009313,O1,-15.3
225,52,0.005434,O1,-15.3
255.8,52,0.005506,O1,-15.3
288.9,52,0.008344,O1,-15.3
9.709,10,0.1426,Oid,-17
18.97,10,0.03963,Oid,-17
35.52,10,0.01224,Oid,-17
69.07,10,0.005268,Oid,-17
107.2,10,0.002962,Oid,-17
209.7,10,0.001097,Oid,-17
