# Date : 2018-06-07# Equipment : MACSQuant (Bjorkman lab)# User : sbarnes# Description :# A titration run of six replicates of F164T in O3 date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,run_no,fold_change
20180607,gchure,Q294K,O3,R260,0.1,30877.049713235596,260.0,r1,1.287301798273299
20180607,gchure,F164T,O3,R260,0.1,4095.5957240046864,260.0,r1,-0.00024556990144767
20180607,gchure,F164T,O3,R260,0.1,4084.1739305827978,260.0,r4,-0.0007946849743672298
20180607,gchure,Q294K,O3,R260,0.1,33330.787907849524,260.0,r5,1.4052679160178922
20180607,gchure,delta,O3,R0,5.0,26957.65006867925,0.0,r1,1.0
20180607,gchure,F164T,O3,R260,5.0,4138.746320726132,260.0,r2,0.0015449382187445173
20180607,gchure,Q294K,O3,R260,5.0,30902.296691590083,260.0,r2,1.1726004207339256
20180607,gchure,Q294K,O3,R260,5.0,32189.09950656496,260.0,r5,1.228905263346765
20180607,gchure,F164T,O3,R260,5.0,4135.863316260469,260.0,r5,0.0014187905986101869
20180607,gchure,F164T,O3,R260,5.0,4130.0417241463165,260.0,r4,0.0011640632822498191
20180607,gchure,Q294K,O3,R260,5.0,30903.39279816314,260.0,r4,1.1726483815460753
20180607,gchure,Q294K,O3,R260,5.0,28678.25696194628,260.0,r3,1.0752862048455019
20180607,gchure,F164T,O3,R260,5.0,4141.600910065607,260.0,r3,0.0016698425176884155
20180607,gchure,F164T,O3,R260,5.0,4117.683966233185,260.0,r6,0.0006233420417853055
20180607,gchure,auto,O3,R0,5.0,4103.437975003319,0.0,r1,0.0
20180607,gchure,Q294K,O3,R260,5.0,31772.33217998138,260.0,r6,1.2106693545840688
20180607,gchure,Q294K,O3,R260,5.0,28667.75766163633,260.0,r1,1.074826801551837
20180607,gchure,F164T,O3,R260,5.0,4166.256914551311,260.0,r1,0.002748681043586491
20180607,gchure,Q294K,O3,R260,10.0,31558.603638139946,260.0,r6,1.12816779440414
20180607,gchure,Q294K,O3,R260,10.0,29966.306194851117,260.0,r1,1.0627519947651343
20180607,gchure,F164T,O3,R260,10.0,4197.707917072759,260.0,r1,0.004109673242917466
20180607,gchure,F164T,O3,R260,10.0,4307.139677929339,260.0,r6,0.008605420047328498
20180607,gchure,delta,O3,R0,10.0,28438.848892835387,0.0,r1,1.0
20180607,gchure,F164T,O3,R260,10.0,4196.734152385104,260.0,r3,0.004069668408411389
20180607,gchure,auto,O3,R0,10.0,4097.673640436812,0.0,r1,0.0
20180607,gchure,Q294K,O3,R260,10.0,30550.306675884793,260.0,r2,1.086744282523554
20180607,gchure,Q294K,O3,R260,10.0,30422.93829499343,260.0,r5,1.0815116518238999
20180607,gchure,F164T,O3,R260,10.0,4170.0524683589565,260.0,r4,0.0029735141040493603
20180607,gchure,Q294K,O3,R260,10.0,30727.062507843486,260.0,r4,1.0940058806233122
20180607,gchure,F164T,O3,R260,10.0,4149.652929696178,260.0,r5,0.00213544698316257
20180607,gchure,F164T,O3,R260,10.0,4184.341841776793,260.0,r2,0.003560559440589915
20180607,gchure,Q294K,O3,R260,10.0,29652.738378771854,260.0,r3,1.0498697977131095
20180607,gchure,Q294K,O3,R260,25.0,27996.081089387033,260.0,r6,1.0059041143346685
20180607,gchure,Q294K,O3,R260,25.0,29033.012625139414,260.0,r1,1.049457569558838
20180607,gchure,F164T,O3,R260,25.0,4428.646387448631,260.0,r1,0.0160188840676217
20180607,gchure,delta,O3,R0,25.0,27855.514461256273,0.0,r1,1.0
20180607,gchure,F164T,O3,R260,25.0,4064.421052851941,260.0,r6,0.0007206013412169405
20180607,gchure,auto,O3,R0,25.0,4047.264796211282,0.0,r1,0.0
20180607,gchure,F164T,O3,R260,25.0,4421.868928029537,260.0,r3,0.015734215538248674
20180607,gchure,Q294K,O3,R260,25.0,28658.818617005465,260.0,r2,1.0337405801371695
20180607,gchure,Q294K,O3,R260,25.0,28603.693938282373,260.0,r5,1.031425219726445
20180607,gchure,F164T,O3,R260,25.0,4381.73801001924,260.0,r4,0.01404862677910457
20180607,gchure,Q294K,O3,R260,25.0,29197.745871623003,260.0,r4,1.0563767361839027
20180607,gchure,F164T,O3,R260,25.0,4295.668304937885,260.0,r5,0.010433505705852315
20180607,gchure,F164T,O3,R260,25.0,4397.97373445612,260.0,r2,0.014730563698672271
20180607,gchure,Q294K,O3,R260,25.0,28753.32483433981,260.0,r3,1.03771005368789
20180607,gchure,Q294K,O3,R260,50.0,29221.083292768682,260.0,r2,1.0535588205948982
20180607,gchure,F164T,O3,R260,50.0,5067.146857989397,260.0,r3,0.043684650202691064
20180607,gchure,auto,O3,R0,50.0,4022.3075155180727,0.0,r1,0.0
20180607,gchure,F164T,O3,R260,50.0,5008.930754880349,260.0,r4,0.041250639539896404
20180607,gchure,Q294K,O3,R260,50.0,29466.58276790351,260.0,r5,1.063823134217357
20180607,gchure,F164T,O3,R260,50.0,4721.491198013505,260.0,r5,0.029232814420060593
20180607,gchure,Q294K,O3,R260,50.0,29523.93672291948,260.0,r4,1.0662210985366247
20180607,gchure,Q294K,O3,R260,50.0,28760.61310993322,260.0,r3,1.0343065986998479
20180607,gchure,F164T,O3,R260,50.0,5109.676544371575,260.0,r2,0.04546281302382026
20180607,gchure,Q294K,O3,R260,50.0,29724.264848430736,260.0,r6,1.074596801606937
20180607,gchure,Q294K,O3,R260,50.0,29608.957506855935,260.0,r1,1.069775810783043
20180607,gchure,F164T,O3,R260,50.0,4846.456094677396,260.0,r1,0.034457586857768986
20180607,gchure,F164T,O3,R260,50.0,4469.127125438175,260.0,r6,0.018681492521993408
20180607,gchure,delta,O3,R0,50.0,27940.075830553367,0.0,r1,1.0
20180607,gchure,Q294K,O3,R260,75.0,28147.313749747853,260.0,r1,1.0911426218659794
20180607,gchure,Q294K,O3,R260,75.0,28541.385468697248,260.0,r6,1.1090087110197753
20180607,gchure,delta,O3,R0,75.0,26136.984048653183,0.0,r1,1.0
20180607,gchure,F164T,O3,R260,75.0,4975.109200177808,260.0,r6,0.04058087773387402
20180607,gchure,F164T,O3,R260,75.0,5193.316795577484,260.0,r1,0.050473788506155734
20180607,gchure,F164T,O3,R260,75.0,5268.224120127212,260.0,r4,0.053869873214405534
20180607,gchure,Q294K,O3,R260,75.0,28956.883759262284,260.0,r5,1.1278462198932249
20180607,gchure,Q294K,O3,R260,75.0,28327.289110736234,260.0,r2,1.0993021920413717
20180607,gchure,auto,O3,R0,75.0,4080.018164450759,0.0,r1,0.0
20180607,gchure,F164T,O3,R260,75.0,5289.494424928245,260.0,r3,0.05483420824183864
20180607,gchure,Q294K,O3,R260,75.0,28705.835018927188,260.0,r3,1.1164643851634126
20180607,gchure,F164T,O3,R260,75.0,5299.122465007211,260.0,r2,0.05527071615183461
20180607,gchure,F164T,O3,R260,75.0,5143.853323574433,260.0,r5,0.048231255591033514
20180607,gchure,Q294K,O3,R260,75.0,29225.548153075175,260.0,r4,1.1400266981703986
20180607,gchure,Q294K,O3,R260,100.0,28382.821871067285,260.0,r5,1.0582137326036805
20180607,gchure,F164T,O3,R260,100.0,5405.289473389386,260.0,r4,0.05887695574361711
20180607,gchure,F164T,O3,R260,100.0,5766.52867995326,260.0,r1,0.07458793889511993
20180607,gchure,Q294K,O3,R260,100.0,27622.575881759043,260.0,r1,1.0251491822669843
20180607,gchure,Q294K,O3,R260,100.0,29012.208395470665,260.0,r4,1.0855869548370651
20180607,gchure,F164T,O3,R260,100.0,5097.506882128686,260.0,r5,0.04549090290727379
20180607,gchure,F164T,O3,R260,100.0,4685.776438476444,260.0,r6,0.027583959403793972
20180607,gchure,Q294K,O3,R260,100.0,27875.410572688455,260.0,r2,1.0361454459535646
20180607,gchure,F164T,O3,R260,100.0,5697.910006265276,260.0,r3,0.07160358169744747
20180607,gchure,delta,O3,R0,100.0,27044.326222889882,0.0,r1,1.0
20180607,gchure,auto,O3,R0,100.0,4051.544480308792,0.0,r1,0.0
20180607,gchure,Q294K,O3,R260,100.0,27685.818411002685,260.0,r3,1.0278997206729799
20180607,gchure,F164T,O3,R260,100.0,5781.961196385134,260.0,r2,0.07525912851474278
20180607,gchure,Q294K,O3,R260,100.0,27686.35165023055,260.0,r6,1.0279229122656213
20180607,gchure,Q294K,O3,R260,250.0,27762.44834100724,260.0,r1,1.089575591867951
20180607,gchure,Q294K,O3,R260,250.0,27143.840099306206,260.0,r4,1.0611075877305525
20180607,gchure,F164T,O3,R260,250.0,7520.585549555899,260.0,r5,0.15805642537391093
20180607,gchure,Q294K,O3,R260,250.0,25935.03999485727,260.0,r5,1.0054792852686996
20180607,gchure,F164T,O3,R260,250.0,7294.6833298791025,260.0,r4,0.14766053199440665
20180607,gchure,F164T,O3,R260,250.0,7009.031271738179,260.0,r1,0.1345149845787253
20180607,gchure,Q294K,O3,R260,250.0,26487.416662849242,260.0,r3,1.0308993495513181
20180607,gchure,F164T,O3,R260,250.0,7092.88124361457,260.0,r2,0.13837371323021241
20180607,gchure,Q294K,O3,R260,250.0,24820.40455841752,260.0,r6,0.9541843879860453
20180607,gchure,F164T,O3,R260,250.0,7102.43210365802,260.0,r6,0.13881323844973587
20180607,gchure,Q294K,O3,R260,250.0,25913.53401908937,260.0,r2,1.0044895923324142
20180607,gchure,F164T,O3,R260,250.0,7055.227813772528,260.0,r3,0.13664092351893575
20180607,gchure,delta,O3,R0,250.0,25815.97541240571,0.0,r1,1.0
20180607,gchure,auto,O3,R0,250.0,4086.0276888009826,0.0,r1,0.0
20180607,gchure,Q294K,O3,R260,1000.0,25026.091895814963,260.0,r5,0.9679509196867604
20180607,gchure,F164T,O3,R260,1000.0,8146.258617452087,260.0,r4,0.19128877499643235
20180607,gchure,Q294K,O3,R260,1000.0,25828.14946045864,260.0,r6,1.0048545868053065
20180607,gchure,F164T,O3,R260,1000.0,7790.473157757433,260.0,r1,0.17491864303960278
20180607,gchure,Q294K,O3,R260,1000.0,26425.59615314281,260.0,r3,1.0323438529625155
20180607,gchure,F164T,O3,R260,1000.0,7656.956085738433,260.0,r2,0.168775356325985
20180607,gchure,Q294K,O3,R260,1000.0,23912.328051037617,260.0,r2,0.9167052585419831
20180607,gchure,delta,O3,R0,1000.0,25722.640757003566,0.0,r1,1.0
20180607,gchure,auto,O3,R0,1000.0,3988.823300130822,0.0,r1,0.0
20180607,gchure,F164T,O3,R260,1000.0,7595.280847310826,260.0,r3,0.16593760181967285
20180607,gchure,Q294K,O3,R260,1000.0,28421.39372712895,260.0,r1,1.1241729841285648
20180607,gchure,F164T,O3,R260,1000.0,8185.1406384589445,260.0,r6,0.1930777851914436
20180607,gchure,Q294K,O3,R260,1000.0,24784.248617267018,260.0,r4,0.9568234093435892
20180607,gchure,F164T,O3,R260,1000.0,7786.5329936479975,260.0,r5,0.17473735118338588
20180607,gchure,F164T,O3,R260,5000.0,8973.169232314362,260.0,r6,0.2661242867376405
20180607,gchure,Q294K,O3,R260,5000.0,23718.285249454657,260.0,r4,1.058883213329653
20180607,gchure,F164T,O3,R260,5000.0,7950.529388423974,260.0,r5,0.21114290415710535
20180607,gchure,Q294K,O3,R260,5000.0,24538.96307559555,260.0,r2,1.1030062756218075
20180607,gchure,F164T,O3,R260,5000.0,7684.68131641733,260.0,r3,0.19684980317671597
20180607,gchure,auto,O3,R0,5000.0,4023.324643626818,0.0,r1,0.0
20180607,gchure,delta,O3,R0,5000.0,22623.072338084196,0.0,r1,1.0
20180607,gchure,Q294K,O3,R260,5000.0,21442.753921253658,260.0,r1,0.9365411597931371
20180607,gchure,F164T,O3,R260,5000.0,8226.511269374856,260.0,r1,0.22598084096595375
20180607,gchure,Q294K,O3,R260,5000.0,23724.273197813654,260.0,r3,1.0592051504041426
20180607,gchure,F164T,O3,R260,5000.0,7462.813372282095,260.0,r2,0.1849212572749159
20180607,gchure,Q294K,O3,R260,5000.0,23888.264595717937,260.0,r5,1.06802201182604
20180607,gchure,F164T,O3,R260,5000.0,8225.493123871234,260.0,r4,0.22592610121784817
20180607,gchure,Q294K,O3,R260,5000.0,22101.332274783905,260.0,r6,0.9719490784568133
