# Date : 2018-06-07# Equipment : MACSQuant (Bjorkman lab)# User : sbarnes# Description :# A titration run of six replicates of F164T in O3 date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,run_no,fold_change
20180607,gchure,Q294K,O3,R260,0.0,32809.85844705247,260.0,r1,1.4986835536360321
20180607,gchure,F164T,O3,R260,0.0,4101.314592457077,260.0,r1,0.0007719784200337727
20180607,gchure,F164T,O3,R260,0.0,4110.636873836446,260.0,r6,0.0012583825113141565
20180607,gchure,Q294K,O3,R260,0.0,31758.01452051193,260.0,r6,1.443802010327331
20180607,gchure,auto,O3,R0,0.0,4086.5190753564466,0.0,r1,0.0
20180607,gchure,Q294K,O3,R260,0.0,31501.696009425363,260.0,r3,1.4304282054195199
20180607,gchure,F164T,O3,R260,0.0,4143.264946310658,260.0,r3,0.002960801403879659
20180607,gchure,F164T,O3,R260,0.0,4087.785999627584,260.0,r4,6.610368468252183e-05
20180607,gchure,Q294K,O3,R260,0.0,30776.160785678825,260.0,r4,1.3925723108335286
20180607,gchure,Q294K,O3,R260,0.0,33598.338112851154,260.0,r5,1.5398236694219196
20180607,gchure,F164T,O3,R260,0.0,4125.551447125908,260.0,r5,0.002036572867566469
20180607,gchure,F164T,O3,R260,0.0,4107.1554014880585,260.0,r2,0.0010767314406134826
20180607,gchure,Q294K,O3,R260,0.0,33454.0030643487,260.0,r2,1.5322927705732627
20180607,gchure,delta,O3,R0,0.0,23252.232412243928,0.0,r1,1.0
20180607,gchure,Q294K,O3,R260,0.1,32703.739472462417,260.0,r6,1.3751218842518274
20180607,gchure,F164T,O3,R260,0.1,4111.920644686366,260.0,r2,0.0005392683178592613
20180607,gchure,Q294K,O3,R260,0.1,31439.39764781266,260.0,r3,1.3143372834808742
20180607,gchure,auto,O3,R0,0.1,4100.70366735444,0.0,r1,0.0
20180607,gchure,delta,O3,R0,0.1,24901.067717025748,0.0,r1,1.0
20180607,gchure,F164T,O3,R260,0.1,4121.599076891133,260.0,r3,0.0010045694145927062
20180607,gchure,Q294K,O3,R260,0.1,32805.4982721781,260.0,r2,1.380014048613599
20180607,gchure,F164T,O3,R260,0.1,4112.487045948964,260.0,r6,0.0005664986711956246
20180607,gchure,F164T,O3,R260,0.1,4087.6190019823803,260.0,r5,-0.0006290594405373571
20180607,gchure,Q294K,O3,R260,0.1,31435.32110977671,260.0,r4,1.314141299505487
