# Date : 2018-02-02# Equipment : MACSQuant (Bjorkman lab)# User : sbarnes# Description :# A titration run of the DNA mutant Q21M with all RBS modifications as well as# a WT control with R=260.# These were coupled with an O2-regulated YFP.# Comments:
date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20180202,sbarnes,auto,O2,R0,0.0,4659.9576699186655,0.0,0.0
20180202,sbarnes,Q21M,O2,R1220,0.0,4467.502515041789,1220.0,-0.010809689157737307
20180202,sbarnes,Q21M,O2,R60,0.0,5061.323447011489,60.0,0.022543637720188643
20180202,sbarnes,Q21M,O2,R124,0.0,4814.352751695135,124.0,0.008671957072569918
20180202,sbarnes,wt,O2,R260,0.0,4808.303332521859,260.0,0.008332177445000035
20180202,sbarnes,Q21M,O2,R260,0.0,4878.298202602652,260.0,0.012263601306801115
20180202,sbarnes,delta,O2,R0,0.0,22463.906707539438,0.0,1.0
20180202,sbarnes,auto,O2,R0,0.1,4694.688644302967,0.0,0.0
20180202,sbarnes,Q21M,O2,R60,0.1,4901.658868704948,60.0,0.01016236099008518
20180202,sbarnes,Q21M,O2,R260,0.1,4762.894866740605,260.0,0.0033489660466092066
20180202,sbarnes,Q21M,O2,R124,0.1,4912.508151664292,124.0,0.010695067229521332
20180202,sbarnes,Q21M,O2,R1220,0.1,4320.55715524949,1220.0,-0.018370078403814806
20180202,sbarnes,wt,O2,R260,0.1,4904.342660426174,260.0,0.010294136758179868
20180202,sbarnes,delta,O2,R0,0.1,25061.040971671537,0.0,1.0
20180202,sbarnes,wt,O2,R260,5.0,5127.001412681623,260.0,0.02599394190693624
20180202,sbarnes,delta,O2,R0,5.0,26768.189270454648,0.0,1.0
20180202,sbarnes,Q21M,O2,R260,5.0,4824.009322271222,260.0,0.0123571612665421
20180202,sbarnes,Q21M,O2,R124,5.0,5328.065553815326,124.0,0.03504324607713986
20180202,sbarnes,Q21M,O2,R60,5.0,4888.24876125499,60.0,0.015248389010134575
20180202,sbarnes,Q21M,O2,R1220,5.0,4295.246705990396,1220.0,-0.011440885076171952
20180202,sbarnes,auto,O2,R0,5.0,4549.448762677164,0.0,0.0
20180202,sbarnes,Q21M,O2,R260,10.0,4946.319348086861,260.0,0.025638823159835126
20180202,sbarnes,delta,O2,R0,10.0,26316.544190807563,0.0,1.0
20180202,sbarnes,wt,O2,R260,10.0,5664.8460538367535,260.0,0.058399570028814705
20180202,sbarnes,Q21M,O2,R1220,10.0,4282.9557730449105,1220.0,-0.004606797483269198
20180202,sbarnes,Q21M,O2,R124,10.0,5718.758267615544,124.0,0.06085766152996493
20180202,sbarnes,auto,O2,R0,10.0,4383.994587359751,0.0,0.0
20180202,sbarnes,Q21M,O2,R60,10.0,4991.164471931192,60.0,0.02768350673083595
20180202,sbarnes,Q21M,O2,R260,25.0,5842.201177165162,260.0,0.07128802752234803
20180202,sbarnes,delta,O2,R0,25.0,24277.72621171472,0.0,1.0
20180202,sbarnes,wt,O2,R260,25.0,7598.374877927166,260.0,0.15975741142063574
20180202,sbarnes,Q21M,O2,R1220,25.0,4621.106504071298,1220.0,0.009773899755133889
20180202,sbarnes,Q21M,O2,R124,25.0,7723.329948542361,124.0,0.16605217492124888
20180202,sbarnes,auto,O2,R0,25.0,4427.088359629552,0.0,0.0
20180202,sbarnes,Q21M,O2,R60,25.0,6374.263057755239,60.0,0.09809129120357968
20180202,sbarnes,auto,O2,R0,50.0,4421.264546692466,0.0,0.0
20180202,sbarnes,Q21M,O2,R124,50.0,11144.170128184107,124.0,0.37367188800620993
20180202,sbarnes,Q21M,O2,R60,50.0,8843.159346382026,60.0,0.2457773292122047
20180202,sbarnes,Q21M,O2,R260,50.0,7453.215292777185,260.0,0.16852159321564353
20180202,sbarnes,delta,O2,R0,50.0,22412.731920282837,0.0,1.0
20180202,sbarnes,Q21M,O2,R1220,50.0,5090.07110048509,1220.0,0.03717354120733718
20180202,sbarnes,wt,O2,R260,50.0,11242.063748543955,260.0,0.3791130017479132
20180202,sbarnes,delta,O2,R0,75.0,21944.538977751916,0.0,1.0
20180202,sbarnes,Q21M,O2,R260,75.0,9169.43965358401,260.0,0.2689584759521611
20180202,sbarnes,Q21M,O2,R1220,75.0,5745.11409599454,1220.0,0.07300507387407407
20180202,sbarnes,wt,O2,R260,75.0,13320.37911921022,260.0,0.5064915890952447
20180202,sbarnes,Q21M,O2,R60,75.0,10968.991097047012,60.0,0.3719359007415663
20180202,sbarnes,auto,O2,R0,75.0,4469.335581054149,0.0,0.0
20180202,sbarnes,Q21M,O2,R124,75.0,13049.11955219364,124.0,0.49096904776288813
20180202,sbarnes,delta,O2,R0,100.0,18199.455578541845,0.0,1.0
20180202,sbarnes,wt,O2,R260,100.0,12678.620603713514,260.0,0.6073425591982575
20180202,sbarnes,Q21M,O2,R1220,100.0,5922.306234018965,1220.0,0.12681431994604317
20180202,sbarnes,Q21M,O2,R124,100.0,12237.408900585015,124.0,0.5759623315710765
20180202,sbarnes,Q21M,O2,R260,100.0,8625.902374090947,260.0,0.3191017449754689
20180202,sbarnes,Q21M,O2,R60,100.0,10319.30116616954,60.0,0.439541069640307
20180202,sbarnes,auto,O2,R0,100.0,4139.273849766544,0.0,0.0
20180202,sbarnes,Q21M,O2,R1220,250.0,7466.106295827661,1220.0,0.2540130459909454
20180202,sbarnes,delta,O2,R0,250.0,17190.747114153462,0.0,1.0
20180202,sbarnes,wt,O2,R260,250.0,14595.434436447185,260.0,0.8009109605884135
20180202,sbarnes,Q21M,O2,R260,250.0,11455.414313949263,260.0,0.5600368665761026
20180202,sbarnes,Q21M,O2,R60,250.0,13330.238772445617,60.0,0.7038565318186235
20180202,sbarnes,auto,O2,R0,250.0,4154.807589924509,0.0,0.0
20180202,sbarnes,Q21M,O2,R124,250.0,14765.339295579794,124.0,0.8139445327998232
20180202,sbarnes,Q21M,O2,R124,500.0,14795.985488044858,124.0,0.8315604343729974
20180202,sbarnes,Q21M,O2,R260,500.0,12340.396935856697,260.0,0.6393669278523605
20180202,sbarnes,Q21M,O2,R60,500.0,14010.76080586232,60.0,0.7701026282838074
20180202,sbarnes,auto,O2,R0,500.0,4171.431516031821,0.0,0.0
20180202,sbarnes,delta,O2,R0,500.0,16948.078327064897,0.0,1.0
20180202,sbarnes,wt,O2,R260,500.0,14495.706217419338,260.0,0.8080582373516147
20180202,sbarnes,Q21M,O2,R1220,500.0,8362.329944139685,1220.0,0.32801238776428243
20180202,sbarnes,Q21M,O2,R1220,1000.0,8283.920305257998,1220.0,0.3878779346694317
20180202,sbarnes,auto,O2,R0,1000.0,4142.211880899758,0.0,0.0
20180202,sbarnes,Q21M,O2,R260,1000.0,11950.523177467865,260.0,0.7312614381921693
20180202,sbarnes,Q21M,O2,R60,1000.0,13460.282980705366,60.0,0.8726529738402705
20180202,sbarnes,wt,O2,R260,1000.0,14165.387407754926,260.0,0.9386871850565356
20180202,sbarnes,delta,O2,R0,1000.0,14820.077400339536,0.0,1.0
20180202,sbarnes,Q21M,O2,R124,1000.0,14081.897973260517,124.0,0.9308682596034653
20180202,sbarnes,Q21M,O2,R124,5000.0,13182.578934753255,124.0,0.9108881389052518
20180202,sbarnes,delta,O2,R0,5000.0,14070.969946113466,0.0,1.0
20180202,sbarnes,Q21M,O2,R260,5000.0,10936.753583397454,260.0,0.685616074922226
20180202,sbarnes,auto,O2,R0,5000.0,4101.57866142659,0.0,0.0
20180202,sbarnes,Q21M,O2,R1220,5000.0,8238.001484736402,1220.0,0.41491227550306053
20180202,sbarnes,Q21M,O2,R60,5000.0,11965.588821462012,60.0,0.788815478846201
20180202,sbarnes,wt,O2,R260,5000.0,12961.863078928529,260.0,0.8887487876126858
# Date : 2018-02-02# Equipment : MACSQuant (Bjorkman lab)# User : sbarnes# Description :# A titration run of the DNA mutant Q21M with all RBS modifications as well as# a WT control with R=260.# These were coupled with an O2-regulated YFP.# Comments:date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20180202,sbarnes,auto,O2,R0,0.0,4659.9576699186655,0.0,0.0
20180202,sbarnes,Q21M,O2,R1220,0.0,4467.502515041789,1220.0,-0.010809689157737307
20180202,sbarnes,Q21M,O2,R60,0.0,4814.352751695135,60.0,0.008671957072569918
20180202,sbarnes,Q21M,O2,R124,0.0,5061.323447011489,124.0,0.022543637720188643
20180202,sbarnes,wt,O2,R260,0.0,4808.303332521859,260.0,0.008332177445000035
20180202,sbarnes,Q21M,O2,R260,0.0,4878.298202602652,260.0,0.012263601306801115
20180202,sbarnes,delta,O2,R0,0.0,22463.906707539438,0.0,1.0
20180202,sbarnes,auto,O2,R0,0.1,4694.688644302967,0.0,0.0
20180202,sbarnes,Q21M,O2,R60,0.1,4912.508151664292,60.0,0.010695067229521332
