,parameter,dimension,meanmode,median,hpd_min,hpd_max,mass_fraction,mean,mode,ep_ai,operator
0,ep_r,1,,-17.11117867688719,-17.210912994747627,-17.002455696671547,0.95,-17.111778402129787,-17.097398257498742,-1.7578579175523736,O1
1,ep_r,2,,-15.460652354948639,-15.55062704921426,-15.36675063639685,0.95,-15.460761106851063,-15.445349313733912,-1.7578579175523736,O2
2,ep_r,3,,-11.287017514061162,-11.350258348136212,-11.22796249782379,0.95,-11.287077857270265,-11.280714181179562,-1.7578579175523736,O3
3,ep_r,4,,-19.534628647065794,-25.90831107911506,-17.30798184861462,0.95,-20.42255502918987,-18.27341359978398,-1.7578579175523736,Oid
4,ka,1,,288.92947096064376,272.6687723238208,306.13407938952207,0.95,289.28614641813783,290.23516062313297,-1.7578579175523736,
5,ki,1,,8.192776982588835,7.663638912582074,8.695973745126897,0.95,8.189204406418359,8.266246141959266,-1.7578579175523736,
