# Date : 2018-01-25# Equipment : MACSQuant (Bjorkman lab)# User : gchure# Description :# A titration run of the DNA mutant Q21A with all RBS modifications as well as# a WT control with R=260.# These were coupled with an O2-regulated YFP.# Comments:date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20180130,sbarnes,auto,O2,R0,0.0,4702.276599585226,0.0,0.0
20180130,sbarnes,Q21A,O2,R124,0.0,13630.36932390837,124.0,0.5931440582388087
20180130,sbarnes,Q21A,O2,R260,0.0,9100.423383414669,260.0,0.2921939447362016
20180130,sbarnes,Q21A,O2,R1220,0.0,5701.978622714936,1220.0,0.06641590016345374
20180130,sbarnes,Q21A,O2,R60,0.0,16537.141160315703,60.0,0.7862574696535215
20180130,sbarnes,wt,O2,R260,0.0,4727.404948024232,260.0,0.0016694193295445205
20180130,sbarnes,delta,O2,R0,0.0,19754.42556797051,0.0,1.0
20180130,sbarnes,delta,O2,R0,0.1,16179.913876103074,0.0,1.0
20180130,sbarnes,Q21A,O2,R60,0.1,12892.063069906506,60.0,0.7198306139049893
20180130,sbarnes,auto,O2,R0,0.1,4444.688796652048,0.0,0.0
20180130,sbarnes,Q21A,O2,R260,0.1,7536.403031534223,260.0,0.26345589572848704
20180130,sbarnes,Q21A,O2,R1220,0.1,5570.7146514735405,1220.0,0.09595264233944868
20180130,sbarnes,wt,O2,R260,0.1,4580.855549897515,260.0,0.011603250242204691
20180130,sbarnes,Q21A,O2,R124,0.1,12663.96771838721,124.0,0.7003938029384316
20180130,sbarnes,Q21A,O2,R60,5.0,16271.441991019186,60.0,0.7791468781992984
20180130,sbarnes,wt,O2,R260,5.0,4887.4267924096375,260.0,0.03635817316125302
20180130,sbarnes,delta,O2,R0,5.0,19656.24749248515,0.0,1.0
20180130,sbarnes,Q21A,O2,R260,5.0,10796.809851004171,260.0,0.42193592521865747
20180130,sbarnes,Q21A,O2,R1220,5.0,6589.034047730734,1220.0,0.14738531320035603
20180130,sbarnes,Q21A,O2,R124,5.0,15887.91067391775,124.0,0.7541220758425596
20180130,sbarnes,auto,O2,R0,5.0,4330.199692624669,0.0,0.0
20180130,sbarnes,Q21A,O2,R1220,10.0,7348.343725783866,1220.0,0.20623031740178105
20180130,sbarnes,Q21A,O2,R124,10.0,16925.42391739718,124.0,0.8524132100931255
20180130,sbarnes,delta,O2,R0,10.0,19112.808538914964,0.0,1.0
20180130,sbarnes,wt,O2,R260,10.0,5299.157799299941,260.0,0.06796804297733405
20180130,sbarnes,Q21A,O2,R60,10.0,16193.168869947378,60.0,0.8030066398982442
20180130,sbarnes,auto,O2,R0,10.0,4291.803062083346,0.0,0.0
20180130,sbarnes,Q21A,O2,R260,10.0,10446.512038714403,260.0,0.41526932745906986
20180130,sbarnes,Q21A,O2,R1220,25.0,11253.45740290427,1220.0,0.46311135481653964
20180130,sbarnes,Q21A,O2,R124,25.0,15225.8017880161,124.0,0.7265199026643568
20180130,sbarnes,delta,O2,R0,25.0,19350.03062556588,0.0,1.0
20180130,sbarnes,wt,O2,R260,25.0,6345.561252793574,260.0,0.1376658061541829
20180130,sbarnes,Q21A,O2,R60,25.0,16837.063295066066,60.0,0.8333636233059569
20180130,sbarnes,auto,O2,R0,25.0,4269.485906846923,0.0,0.0
20180130,sbarnes,Q21A,O2,R260,25.0,16907.500086894375,260.0,0.8380343293807102
20180130,sbarnes,auto,O2,R0,50.0,4261.770683198925,0.0,0.0
20180130,sbarnes,Q21A,O2,R60,50.0,14843.36418398332,60.0,0.9847274832254183
20180130,sbarnes,Q21A,O2,R260,50.0,14405.570387821492,260.0,0.9439862108419931
20180130,sbarnes,Q21A,O2,R124,50.0,14796.009459610248,124.0,0.9803206329200014
20180130,sbarnes,Q21A,O2,R1220,50.0,12816.513261390464,1220.0,0.7961078950953292
20180130,sbarnes,delta,O2,R0,50.0,15007.478182013718,0.0,1.0
20180130,sbarnes,wt,O2,R260,50.0,9150.891057411687,260.0,0.4549835713238995
20180130,sbarnes,Q21A,O2,R124,75.0,14708.033606432022,124.0,0.9668521132272095
20180130,sbarnes,Q21A,O2,R1220,75.0,12803.687481245595,1220.0,0.7905590530378812
20180130,sbarnes,wt,O2,R260,75.0,11079.701354913186,260.0,0.6309626509366966
20180130,sbarnes,delta,O2,R0,75.0,15066.102436062012,0.0,1.0
20180130,sbarnes,Q21A,O2,R260,75.0,14569.054771292203,260.0,0.9539862776397066
20180130,sbarnes,auto,O2,R0,75.0,4263.940835705916,0.0,0.0
20180130,sbarnes,Q21A,O2,R60,75.0,15061.198128523061,60.0,0.9995459883197093
20180130,sbarnes,Q21A,O2,R124,100.0,14971.117867691317,124.0,1.0227626727685362
20180130,sbarnes,wt,O2,R260,100.0,11526.569586969787,260.0,0.6945477714865756
20180130,sbarnes,Q21A,O2,R1220,100.0,13610.768876301168,1220.0,0.8931413774547114
20180130,sbarnes,Q21A,O2,R260,100.0,14370.90518640003,260.0,0.9655712125585678
20180130,sbarnes,auto,O2,R0,100.0,4237.4327354476,0.0,0.0
20180130,sbarnes,Q21A,O2,R60,100.0,14891.664668090707,60.0,1.0151919488482466
20180130,sbarnes,delta,O2,R0,100.0,14732.228271139666,0.0,1.0
20180130,sbarnes,wt,O2,R260,250.0,13062.398736421666,260.0,0.9127596901938324
20180130,sbarnes,Q21A,O2,R1220,250.0,13959.26714912521,1220.0,1.0058883247777877
20180130,sbarnes,Q21A,O2,R260,250.0,14692.328900523815,260.0,1.0820076740674822
20180130,sbarnes,Q21A,O2,R124,250.0,14372.928476734052,124.0,1.0488419109167741
20180130,sbarnes,delta,O2,R0,250.0,13902.560073793009,0.0,1.0
20180130,sbarnes,auto,O2,R0,250.0,4272.13419339402,0.0,0.0
20180130,sbarnes,Q21A,O2,R60,250.0,14624.637736465435,60.0,1.0749787882322095
20180130,sbarnes,auto,O2,R0,500.0,4280.853746256138,0.0,0.0
20180130,sbarnes,Q21A,O2,R60,500.0,14283.281044131641,60.0,1.0598050504060195
20180130,sbarnes,delta,O2,R0,500.0,13718.841698892802,0.0,1.0
20180130,sbarnes,Q21A,O2,R124,500.0,14046.278600093277,124.0,1.03469350701057
20180130,sbarnes,wt,O2,R260,500.0,13180.055704330067,260.0,0.9429130448919236
20180130,sbarnes,Q21A,O2,R1220,500.0,13455.026759385326,1220.0,0.9720475443673591
20180130,sbarnes,Q21A,O2,R260,500.0,14041.4345331929,260.0,1.0341802549355847
20180130,sbarnes,Q21A,O2,R124,1000.0,13624.982520051819,124.0,1.0721922008101905
20180130,sbarnes,Q21A,O2,R60,1000.0,13301.747245392622,60.0,1.0349771383801611
20180130,sbarnes,delta,O2,R0,1000.0,12997.949691583299,0.0,1.0
20180130,sbarnes,auto,O2,R0,1000.0,4312.346240912346,0.0,0.0
20180130,sbarnes,Q21A,O2,R1220,1000.0,13217.643185150551,1220.0,1.025293981565585
20180130,sbarnes,wt,O2,R260,1000.0,12725.921941481256,260.0,0.9686806159586956
20180130,sbarnes,Q21A,O2,R260,1000.0,13500.236688911895,260.0,1.0578298330313243
20180130,sbarnes,auto,O2,R0,5000.0,4281.278548262756,0.0,0.0
20180130,sbarnes,Q21A,O2,R1220,5000.0,11919.614912164676,1220.0,0.877242405814865
20180130,sbarnes,wt,O2,R260,5000.0,12265.119258406481,260.0,0.9169226515486132
20180130,sbarnes,Q21A,O2,R260,5000.0,12695.536855203403,260.0,0.9663549559314885
20180130,sbarnes,Q21A,O2,R60,5000.0,13098.773682188752,60.0,1.0126656219411063
20180130,sbarnes,delta,O2,R0,5000.0,12988.491415847193,0.0,1.0
20180130,sbarnes,Q21A,O2,R124,5000.0,12742.399934350293,124.0,0.971737054642013
# Date : 2018-01-30# Equipment : MACSQuant (Bjorkman lab)# User : sbarnes# Description :# A titration run of the DNA mutant Q21A with all RBS modifications as well as# a WT control with R=260.# These were coupled with an O2-regulated YFP.# Comments:date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20180130,sbarnes,auto,O2,R0,0.0,4702.276599585226,0.0,0.0
20180130,sbarnes,Q21A,O2,R124,0.0,13630.36932390837,124.0,0.5931440582388087
20180130,sbarnes,Q21A,O2,R260,0.0,9100.423383414669,260.0,0.2921939447362016
20180130,sbarnes,Q21A,O2,R1220,0.0,5701.978622714936,1220.0,0.06641590016345374
20180130,sbarnes,Q21A,O2,R60,0.0,16537.141160315703,60.0,0.7862574696535215
20180130,sbarnes,wt,O2,R260,0.0,4727.404948024232,260.0,0.0016694193295445205
20180130,sbarnes,delta,O2,R0,0.0,19754.42556797051,0.0,1.0
20180130,sbarnes,delta,O2,R0,0.1,16179.913876103074,0.0,1.0
20180130,sbarnes,Q21A,O2,R60,0.1,12892.063069906506,60.0,0.7198306139049893
20180130,sbarnes,auto,O2,R0,0.1,4444.688796652048,0.0,0.0
20180130,sbarnes,Q21A,O2,R260,0.1,7536.403031534223,260.0,0.26345589572848704
20180130,sbarnes,Q21A,O2,R1220,0.1,5570.7146514735405,1220.0,0.09595264233944868
20180130,sbarnes,wt,O2,R260,0.1,4580.855549897515,260.0,0.011603250242204691
20180130,sbarnes,Q21A,O2,R124,0.1,12663.96771838721,124.0,0.7003938029384316
20180130,sbarnes,Q21A,O2,R60,5.0,16271.441991019186,60.0,0.7791468781992984
20180130,sbarnes,wt,O2,R260,5.0,4887.4267924096375,260.0,0.03635817316125302
20180130,sbarnes,delta,O2,R0,5.0,19656.24749248515,0.0,1.0
20180130,sbarnes,Q21A,O2,R260,5.0,10796.809851004171,260.0,0.42193592521865747
20180130,sbarnes,Q21A,O2,R1220,5.0,6589.034047730734,1220.0,0.14738531320035603
20180130,sbarnes,Q21A,O2,R124,5.0,15887.91067391775,124.0,0.7541220758425596
20180130,sbarnes,auto,O2,R0,5.0,4330.199692624669,0.0,0.0
20180130,sbarnes,Q21A,O2,R1220,10.0,7348.343725783866,1220.0,0.20623031740178105
20180130,sbarnes,Q21A,O2,R124,10.0,16925.42391739718,124.0,0.8524132100931255
20180130,sbarnes,delta,O2,R0,10.0,19112.808538914964,0.0,1.0
20180130,sbarnes,wt,O2,R260,10.0,5299.157799299941,260.0,0.06796804297733405
20180130,sbarnes,Q21A,O2,R60,10.0,16193.168869947378,60.0,0.8030066398982442
20180130,sbarnes,auto,O2,R0,10.0,4291.803062083346,0.0,0.0
20180130,sbarnes,Q21A,O2,R260,10.0,10446.512038714403,260.0,0.41526932745906986
20180130,sbarnes,Q21A,O2,R1220,25.0,11253.45740290427,1220.0,0.46311135481653964
20180130,sbarnes,Q21A,O2,R124,25.0,15225.8017880161,124.0,0.7265199026643568
