,parameter,dimension,meanmode,median,hpd_min,hpd_max,mass_fraction,mean,mode,ep_ai,operator
0,ep_r,1,,-15.665079790320817,-15.721958611241782,-15.60496880951234,0.95,-15.66481139818504,-15.66760834608254,-0.35667494393873245,O1
1,ep_r,2,,-14.083553182259475,-14.136479356457748,-14.025723470188224,0.95,-14.083625097804067,-14.087657569075292,-0.35667494393873245,O2
2,ep_r,3,,-10.097019490151268,-10.151698010400455,-10.043240767826367,0.95,-10.096793537082347,-10.100715725813965,-0.35667494393873245,O3
3,ep_r,4,,-18.60834891935257,-25.44333582266548,-16.421274972430705,0.95,-19.49729602199857,-17.662063087704805,-0.35667494393873245,Oid
4,ka,1,,9414.01903312578,1960.3019029174975,66421.39263880913,0.95,20939.62065502535,7777.750728415698,-0.35667494393873245,
5,ki,1,,9.865045258100462,9.447365669997751,10.296147151025636,0.95,9.868334279521902,9.85494671407093,-0.35667494393873245,
