# Date : 2018-11-30# Equipment : MACSQuant (Bjorkman lab)# User : gchure # Description :# An IPTG titration run of inducer mutants Q294V and F164T in O1 and O3date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20181206,gchure,Q294V,O1,R260,0.0,5883.031339990799,260.0,-0.0034438896037743633
20181206,gchure,delta,O1,R0,0.0,19888.19387589654,0.0,1.0
20181206,gchure,F164T,O1,R260,0.0,5971.7875767426285,260.0,0.0029153299486240243
20181206,gchure,Q294V,O3,R260,0.0,28694.265011335996,260.0,0.6807119270694316
20181206,gchure,F164T,O3,R260,0.0,32488.831653122834,260.0,0.7941850116390989
20181206,gchure,delta,O3,R260,0.0,39371.33328049806,260.0,1.0
20181206,gchure,F164T,O1,R260,0.1,5471.867467426407,260.0,-0.03723634424135601
20181206,gchure,delta,O1,R0,0.1,18616.806444192738,0.0,1.0
20181206,gchure,Q294V,O1,R260,0.1,5369.878088347092,260.0,-0.04528408724683158
20181206,gchure,Q294V,O3,R260,0.1,16790.686099600265,260.0,0.33810761605022993
20181206,gchure,delta,O3,R260,0.1,38025.03278658389,260.0,1.0
20181206,gchure,F164T,O3,R260,0.1,28549.26464541964,260.0,0.7046323648584345
20181206,gchure,F164T,O1,R260,5.0,5381.80129187139,260.0,-0.002461509634176819
20181206,gchure,delta,O1,R0,5.0,16712.63152528436,0.0,1.0
20181206,gchure,Q294V,O1,R260,5.0,5467.499242393488,260.0,0.0051203616923923894
20181206,gchure,delta,O3,R260,5.0,34167.424534754005,260.0,1.0
20181206,gchure,F164T,O3,R260,5.0,28629.684401312094,260.0,0.8074352007743234
20181206,gchure,Q294V,O3,R260,5.0,18510.75333405556,260.0,0.45556785373548375
20181206,gchure,Q294V,O1,R260,10.0,5335.035579344637,260.0,0.01008168800317803
20181206,gchure,delta,O1,R0,10.0,13971.08712979294,0.0,1.0
20181206,gchure,F164T,O1,R260,10.0,5291.692192190664,260.0,0.005113397529569384
20181206,gchure,delta,O3,R260,10.0,37306.37954761792,260.0,1.0
20181206,gchure,F164T,O3,R260,10.0,31526.098417473466,260.0,0.8197003137043292
20181206,gchure,Q294V,O3,R260,10.0,22341.747041922405,260.0,0.5332201867767167
20181206,gchure,Q294V,O1,R260,25.0,5311.222167301869,260.0,0.008539395784111182
20181206,gchure,delta,O1,R0,25.0,13900.206475235895,0.0,1.0
20181206,gchure,F164T,O1,R260,25.0,5855.0808665713885,260.0,0.07131916755383354
20181206,gchure,delta,O3,R260,25.0,34049.90577815639,260.0,1.0
20181206,gchure,F164T,O3,R260,25.0,31947.159133718727,260.0,0.9270200446625118
20181206,gchure,Q294V,O3,R260,25.0,21598.343541349153,260.0,0.5678440584708839
20181206,gchure,delta,O1,R0,50.0,14377.655113963434,0.0,1.0
20181206,gchure,F164T,O1,R260,50.0,6157.1246871520825,260.0,0.09862344831732786
20181206,gchure,Q294V,O1,R260,50.0,5291.601410615368,260.0,0.003719306382490744
20181206,gchure,Q294V,O3,R260,50.0,22792.536647732093,260.0,0.6119407664557169
20181206,gchure,delta,O3,R260,50.0,33912.17901744284,260.0,1.0
20181206,gchure,F164T,O3,R260,50.0,31778.436908685937,260.0,0.9255355253545888
20181206,gchure,Q294V,O1,R260,75.0,5352.060805951319,260.0,0.015459055170587674
20181206,gchure,F164T,O1,R260,75.0,6632.514781338134,260.0,0.16342694448120576
20181206,gchure,delta,O1,R0,75.0,13871.87799474356,0.0,1.0
20181206,gchure,F164T,O3,R260,75.0,30613.897332294306,260.0,0.8058804410495647
20181206,gchure,delta,O3,R260,75.0,36731.16352418058,260.0,1.0
20181206,gchure,Q294V,O3,R260,75.0,24214.761610386013,260.0,0.6028163001350463
20181206,gchure,Q294V,O1,R260,100.0,5428.733610648241,260.0,0.019294657251586852
20181206,gchure,delta,O1,R0,100.0,12895.703040878647,0.0,1.0
20181206,gchure,F164T,O1,R260,100.0,6623.228274906728,260.0,0.1761785590900096
20181206,gchure,F164T,O3,R260,100.0,29885.125753919878,260.0,0.9768990247217044
20181206,gchure,Q294V,O3,R260,100.0,25196.617442816994,260.0,0.7907370330305302
20181206,gchure,delta,O3,R260,100.0,30466.92611823133,260.0,1.0
20181206,gchure,delta,O1,R0,250.0,12535.264103910496,0.0,1.0
20181206,gchure,Q294V,O1,R260,250.0,5695.26710252196,260.0,0.0474279979631077
20181206,gchure,F164T,O1,R260,250.0,9748.77013327668,260.0,0.6119389906557637
20181206,gchure,F164T,O3,R260,250.0,25814.345423606723,260.0,0.907168200171967
20181206,gchure,Q294V,O3,R260,250.0,23991.02498381834,260.0,0.8263232535004705
