# Date : 2018-11-30# Equipment : MACSQuant (Bjorkman lab)# User : gchure # Description :# An IPTG titration run of inducer mutants Q294V and F164T in O1 and O3date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20181206,gchure,delta,O3,R260,250.0,27908.008974113745,260.0,1.0
20181206,gchure,F164T,O1,R260,500.0,11299.676629206548,260.0,0.7732701673454224
20181206,gchure,Q294V,O1,R260,500.0,6957.133050456894,260.0,0.20455713887375374
20181206,gchure,delta,O1,R0,500.0,13030.926186740058,0.0,1.0
20181206,gchure,delta,O3,R260,500.0,28609.572073857977,260.0,1.0
20181206,gchure,Q294V,O3,R260,500.0,25302.17862933472,260.0,0.8575282683951042
20181206,gchure,F164T,O3,R260,500.0,27902.659423832276,260.0,0.9695485066920774
20181206,gchure,F164T,O1,R260,1000.0,12291.437942543162,260.0,0.9014054945483697
20181206,gchure,Q294V,O1,R260,1000.0,7918.202497970233,260.0,0.3397455698106986
20181206,gchure,delta,O1,R0,1000.0,13059.121316219134,0.0,1.0
20181206,gchure,F164T,O3,R260,1000.0,22639.094656633777,260.0,0.7489101583673593
20181206,gchure,delta,O3,R260,1000.0,28461.538206861846,260.0,1.0
20181206,gchure,Q294V,O3,R260,1000.0,21956.618535444097,260.0,0.719478731560162
20181206,gchure,F164T,O1,R260,5000.0,11778.720731539082,260.0,1.0361090031019773
20181206,gchure,Q294V,O1,R260,5000.0,9132.921114424082,260.0,0.622600507264368
20181206,gchure,delta,O1,R0,5000.0,11547.680287283894,0.0,1.0
20181206,gchure,F164T,O3,R260,5000.0,32363.934991608126,260.0,1.025669910488998
20181206,gchure,Q294V,O3,R260,5000.0,21995.284200453716,260.0,0.6348949120902617
20181206,gchure,delta,O3,R260,5000.0,31682.82095209369,260.0,1.0
