,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
8,20180402,gchure,wt,O2,R260,0.0,5972.464131749207,260.0,0.033489225930227316
33,20180402,gchure,Q294V,O2,R260,0.0,6231.812109359872,260.0,0.07866394956940402
39,20180402,gchure,delta,O2,R0,0.0,11521.200115084206,0.0,1.0
49,20180402,gchure,F164T,O2,R260,0.0,6154.494544469297,260.0,0.0651963310494352
52,20180402,gchure,Q294K,O2,R260,0.0,21533.97363235298,260.0,2.7440825283138177
64,20180402,gchure,auto,O2,R0,0.0,5780.202567824133,0.0,0.0
69,20180402,gchure,Q294R,O2,R260,0.0,6047.242458686045,260.0,0.04651454536665989
19,20180402,gchure,Q294R,O2,R260,0.1,12983.08209941205,260.0,0.18090658307552157
22,20180402,gchure,Q294V,O2,R260,0.1,5909.495822838564,260.0,1.015777560505451
35,20180402,gchure,auto,O2,R0,0.1,14515.843876955349,0.0,-0.0
45,20180402,gchure,wt,O2,R260,0.1,6316.727309585696,260.0,0.9677134334717856
46,20180402,gchure,F164T,O2,R260,0.1,23841.202601267305,260.0,-1.1006399086182352
62,20180402,gchure,delta,O2,R0,0.1,6043.173886259488,0.0,1.0
65,20180402,gchure,Q294K,O2,R260,0.1,6284.048117027843,260.0,0.9715704457941988
5,20180402,gchure,auto,O2,R0,5.0,6350.594240555774,0.0,0.0
7,20180402,gchure,Q294R,O2,R260,5.0,6689.303612566147,260.0,1.5137528107547762
23,20180402,gchure,F164T,O2,R260,5.0,6217.292693683675,260.0,-0.595748473264627
26,20180402,gchure,Q294K,O2,R260,5.0,5999.573947603648,260.0,-1.5687725200351808
32,20180402,gchure,delta,O2,R0,5.0,6574.3489841334185,0.0,1.0
44,20180402,gchure,Q294V,O2,R260,5.0,14075.07427239515,260.0,34.522083904598595
67,20180402,gchure,wt,O2,R260,5.0,25841.56328051788,260.0,87.10862942308361
4,20180402,gchure,wt,O2,R260,10.0,6222.478555177399,260.0,-0.04619135655436437
17,20180402,gchure,delta,O2,R0,10.0,26198.592174841135,0.0,1.0
27,20180402,gchure,Q294V,O2,R260,10.0,8595.76974676847,260.0,0.07810292703366531
42,20180402,gchure,Q294R,O2,R260,10.0,9108.985542054203,260.0,0.10498112462994758
48,20180402,gchure,Q294K,O2,R260,10.0,13585.389840053269,260.0,0.33941989356043106
58,20180402,gchure,F164T,O2,R260,10.0,5798.390287816306,260.0,-0.06840175684426623
66,20180402,gchure,auto,O2,R0,10.0,7104.4623156009,0.0,0.0
0,20180402,gchure,wt,O2,R260,25.0,5872.668732857786,260.0,1.0402296312566461
21,20180402,gchure,delta,O2,R0,25.0,6697.461867569796,0.0,1.0
29,20180402,gchure,Q294V,O2,R260,25.0,10932.564716449833,260.0,0.7934310813536228
38,20180402,gchure,Q294R,O2,R260,25.0,26715.19771879126,260.0,0.023626533738339422
50,20180402,gchure,Q294K,O2,R260,25.0,8964.200407506982,260.0,0.8894388765144826
60,20180402,gchure,F164T,O2,R260,25.0,13624.484590527944,260.0,0.6621315598749277
71,20180402,gchure,auto,O2,R0,25.0,27199.591987784333,0.0,-0.0
3,20180402,gchure,Q294R,O2,R260,50.0,8082.711786016161,260.0,-0.3436880171777307
14,20180402,gchure,Q294K,O2,R260,50.0,11477.000436834873,260.0,-2.311071222424045
18,20180402,gchure,F164T,O2,R260,50.0,10836.585164952643,260.0,-1.9398764361525682
30,20180402,gchure,auto,O2,R0,50.0,7489.753417245953,0.0,-0.0
41,20180402,gchure,wt,O2,R260,50.0,13430.363911538729,260.0,-3.4432714826897723
55,20180402,gchure,Q294V,O2,R260,50.0,27482.01965475142,260.0,-11.587832643813035
57,20180402,gchure,delta,O2,R0,50.0,5764.472525466788,0.0,1.0
15,20180402,gchure,wt,O2,R260,75.0,10811.727403334731,260.0,0.6684997862110623
31,20180402,gchure,Q294V,O2,R260,75.0,8406.70417364184,260.0,0.34527102174368113
34,20180402,gchure,delta,O2,R0,75.0,13278.295365268117,0.0,1.0
43,20180402,gchure,Q294K,O2,R260,75.0,26427.998227006527,260.0,2.767285303791282
47,20180402,gchure,Q294R,O2,R260,75.0,5972.11149309188,260.0,0.018068201247024344
56,20180402,gchure,auto,O2,R0,75.0,5837.672827679586,0.0,0.0
63,20180402,gchure,F164T,O2,R260,75.0,12062.303912704274,260.0,0.8365739632106186
1,20180402,gchure,Q294K,O2,R260,100.0,10320.79437826865,260.0,-6.158807918022448
9,20180402,gchure,delta,O2,R0,100.0,13747.675334809726,0.0,1.0
24,20180402,gchure,F164T,O2,R260,100.0,25815.401381475724,260.0,26.20966846265842
25,20180402,gchure,wt,O2,R260,100.0,14336.292480145006,260.0,2.229630423159832
37,20180402,gchure,auto,O2,R0,100.0,13268.980977343614,0.0,0.0
51,20180402,gchure,Q294R,O2,R260,100.0,12902.775357463612,260.0,-0.7650092677474812
53,20180402,gchure,Q294V,O2,R260,100.0,6366.382630494095,260.0,-14.41963591003506
10,20180402,gchure,F164T,O2,R260,250.0,10930.445514828023,260.0,4.097561084118326
11,20180402,gchure,wt,O2,R260,250.0,25432.835361546364,260.0,-12.73307132807216
20,20180402,gchure,Q294K,O2,R260,250.0,6364.3442971427885,260.0,9.396713290339397
28,20180402,gchure,delta,O2,R0,250.0,13599.509713709242,0.0,1.0
54,20180402,gchure,auto,O2,R0,250.0,14461.176078439197,0.0,-0.0
68,20180402,gchure,Q294V,O2,R260,250.0,13011.462598463815,260.0,1.6824533709514347
70,20180402,gchure,Q294R,O2,R260,250.0,14235.876107048387,260.0,0.2614700777619639
2,20180402,gchure,auto,O2,R0,500.0,13104.526425071947,0.0,0.0
13,20180402,gchure,Q294V,O2,R260,500.0,13458.6625277787,260.0,0.0318118202504389
16,20180402,gchure,Q294R,O2,R260,500.0,12420.973757014395,260.0,-0.06140310022545471
36,20180402,gchure,Q294K,O2,R260,500.0,11976.588409421014,260.0,-0.10132195258622485
40,20180402,gchure,delta,O2,R0,500.0,24236.743944183203,0.0,1.0
59,20180402,gchure,F164T,O2,R260,500.0,6390.587541290708,260.0,-0.603108848012992
61,20180402,gchure,wt,O2,R260,500.0,11720.439932894253,260.0,-0.12433160687002033
6,20180402,gchure,delta,O2,R0,1000.0,12322.316036297636,0.0,1.0
12,20180402,gchure,auto,O2,R0,1000.0,22574.590491764382,0.0,-0.0
