,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
29,20180323,gchure,auto,O2,R0,0.0,5784.4370663853215,0.0,0.0
44,20180323,gchure,Q21M,O2,R60,0.0,5961.23863774288,60.0,0.011137746481245648
47,20180323,gchure,Q21M,O2,R260,0.0,5851.3345463343685,260.0,0.004214256503410003
52,20180323,gchure,wt,O2,R260,0.0,6006.627247119066,260.0,0.013997035686011154
55,20180323,gchure,delta,O2,R0,0.0,21658.525388943835,0.0,1.0
58,20180323,gchure,Q21M,O2,R124,0.0,5813.814531489997,124.0,0.001850655263327917
73,20180323,gchure,Q21M,O2,R1220,0.0,5719.120170839444,1220.0,-0.004114686413395882
3,20180323,gchure,Q21M,O2,R1220,0.1,5939.7714070581005,1220.0,-0.013734998768127496
20,20180323,gchure,delta,O2,R0,0.1,15267.792823621328,0.0,1.0
37,20180323,gchure,auto,O2,R0,0.1,6066.155879155101,0.0,0.0
45,20180323,gchure,Q21M,O2,R260,0.1,5907.995897047774,260.0,-0.0171882441202424
54,20180323,gchure,Q21M,O2,R60,0.1,6093.495671086314,60.0,0.002971187854532301
62,20180323,gchure,wt,O2,R260,0.1,6028.148311779273,260.0,-0.004130522384789893
76,20180323,gchure,Q21M,O2,R124,0.1,5983.0187333310105,124.0,-0.009035038692119662
14,20180323,gchure,Q21M,O2,R1220,5.0,6000.283243190903,1220.0,0.0038379911245986953
16,20180323,gchure,delta,O2,R0,5.0,17390.250297025166,0.0,1.0
19,20180323,gchure,wt,O2,R260,5.0,6199.599767249697,260.0,0.02127013540298194
21,20180323,gchure,Q21M,O2,R124,5.0,6113.745069641461,124.0,0.013761317542791566
39,20180323,gchure,Q21M,O2,R60,5.0,6281.3227835106145,60.0,0.028417598048400872
40,20180323,gchure,Q21M,O2,R260,5.0,6016.55597039843,260.0,0.005261197403274867
63,20180323,gchure,auto,O2,R0,5.0,5956.4002281064,0.0,0.0
10,20180323,gchure,Q21M,O2,R124,10.0,6390.207602414524,124.0,-0.006084158211052568
15,20180323,gchure,wt,O2,R260,10.0,6368.27983007562,260.0,-0.007824916732236002
34,20180323,gchure,delta,O2,R0,10.0,19063.52449649579,0.0,1.0
53,20180323,gchure,Q21M,O2,R260,10.0,6270.441480509974,260.0,-0.015591913674408472
64,20180323,gchure,auto,O2,R0,10.0,6466.847776512386,0.0,0.0
70,20180323,gchure,Q21M,O2,R60,10.0,6450.883780300385,60.0,-0.001267318084513161
71,20180323,gchure,Q21M,O2,R1220,10.0,6010.886507716764,1220.0,-0.0361969493169801
8,20180323,gchure,Q21M,O2,R124,25.0,8967.491858782849,124.0,0.8760202408225597
13,20180323,gchure,wt,O2,R260,25.0,9895.457236052402,260.0,0.7685142161167388
25,20180323,gchure,delta,O2,R0,25.0,7897.329285906572,0.0,1.0
57,20180323,gchure,Q21M,O2,R260,25.0,7395.269355415898,260.0,1.0581643115284622
67,20180323,gchure,Q21M,O2,R1220,25.0,5804.7027224691055,1220.0,1.242433574074625
68,20180323,gchure,Q21M,O2,R60,25.0,10047.138288526854,60.0,0.7509417641975691
69,20180323,gchure,auto,O2,R0,25.0,16529.08159754524,0.0,-0.0
11,20180323,gchure,Q21M,O2,R260,50.0,7395.269355415898,260.0,1.0581643115284622
23,20180323,gchure,auto,O2,R0,50.0,16529.08159754524,0.0,-0.0
32,20180323,gchure,Q21M,O2,R1220,50.0,5804.7027224691055,1220.0,1.242433574074625
33,20180323,gchure,Q21M,O2,R60,50.0,10047.138288526854,60.0,0.7509417641975691
59,20180323,gchure,wt,O2,R260,50.0,9895.457236052402,260.0,0.7685142161167388
61,20180323,gchure,Q21M,O2,R124,50.0,8967.491858782849,124.0,0.8760202408225597
72,20180323,gchure,delta,O2,R0,50.0,7897.329285906572,0.0,1.0
0,20180323,gchure,wt,O2,R260,75.0,10960.712029004355,260.0,1.183684464400402
5,20180323,gchure,Q21M,O2,R124,75.0,8739.300164738817,124.0,1.6175766934290057
35,20180323,gchure,delta,O2,R0,75.0,11901.127231677678,0.0,1.0
50,20180323,gchure,Q21M,O2,R260,75.0,7095.62344765783,260.0,1.9386241164887021
80,20180323,gchure,Q21M,O2,R60,75.0,10314.380790113557,60.0,1.3099276462454168
81,20180323,gchure,Q21M,O2,R1220,75.0,5860.288475953981,1220.0,2.179913115206996
82,20180323,gchure,auto,O2,R0,75.0,17020.859081309616,0.0,-0.0
4,20180323,gchure,Q21M,O2,R124,100.0,9815.706076505026,124.0,1.6439914836774465
22,20180323,gchure,wt,O2,R260,100.0,12471.088987329582,260.0,1.0801936755788866
24,20180323,gchure,Q21M,O2,R60,100.0,11785.933235431397,60.0,1.2256677273819714
36,20180323,gchure,Q21M,O2,R260,100.0,7485.421357767606,260.0,2.138763597828682
43,20180323,gchure,auto,O2,R0,100.0,17558.600476929973,0.0,-0.0
60,20180323,gchure,delta,O2,R0,100.0,12848.786297658888,0.0,1.0
77,20180323,gchure,Q21M,O2,R1220,100.0,5925.136809298076,1220.0,2.4700472725300497
1,20180323,gchure,wt,O2,R260,250.0,14567.265343291789,260.0,0.9753607414594757
6,20180323,gchure,Q21M,O2,R60,250.0,14219.458143231792,60.0,1.058940498819124
