,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
9,20180323,gchure,Q21M,O2,R260,250.0,8566.447790344157,260.0,2.4173863089243373
31,20180323,gchure,Q21M,O2,R124,250.0,12117.338278671603,124.0,1.564090099490214
56,20180323,gchure,Q21M,O2,R1220,250.0,6074.193737058573,1220.0,3.0162870476562462
74,20180323,gchure,auto,O2,R0,250.0,18626.11283522342,0.0,-0.0
79,20180323,gchure,delta,O2,R0,250.0,14464.732005133625,0.0,1.0
7,20180323,gchure,auto,O2,R0,500.0,16041.677831122328,0.0,-0.0
12,20180323,gchure,delta,O2,R0,500.0,14276.413401741533,0.0,1.0
38,20180323,gchure,Q21M,O2,R1220,500.0,6165.232044380446,1220.0,5.594881776554156
51,20180323,gchure,Q21M,O2,R124,500.0,13497.391279024434,124.0,1.4413061917246912
66,20180323,gchure,wt,O2,R260,500.0,15259.066639014081,260.0,0.4433393541967899
75,20180323,gchure,Q21M,O2,R60,500.0,15188.782221058758,60.0,0.4831545891188332
78,20180323,gchure,Q21M,O2,R260,500.0,9810.850748753519,260.0,3.529684832857821
27,20180323,gchure,Q21M,O2,R124,1000.0,13733.670573703599,124.0,1.135481531984606
30,20180323,gchure,Q21M,O2,R1220,1000.0,6017.187611505768,1220.0,3.8585590717031892
41,20180323,gchure,Q21M,O2,R60,1000.0,15749.18628769006,60.0,0.42422413679647875
42,20180323,gchure,auto,O2,R0,1000.0,16951.325512885025,0.0,-0.0
46,20180323,gchure,wt,O2,R260,1000.0,15020.837089761857,260.0,0.6812520278274763
49,20180323,gchure,Q21M,O2,R260,1000.0,9726.14307751995,260.0,2.5497019959087726
65,20180323,gchure,delta,O2,R0,1000.0,14117.589473552376,0.0,1.0
2,20180323,gchure,delta,O2,R0,5000.0,13286.607874489033,0.0,1.0
17,20180323,gchure,auto,O2,R0,5000.0,15156.072447454322,0.0,-0.0
18,20180323,gchure,Q21M,O2,R60,5000.0,14370.111338252027,60.0,0.42042043511722016
26,20180323,gchure,Q21M,O2,R260,5000.0,9590.058395952181,260.0,2.977330585448589
28,20180323,gchure,wt,O2,R260,5000.0,14396.75743608447,260.0,0.40616710385982285
48,20180323,gchure,Q21M,O2,R124,5000.0,12633.882064627182,124.0,1.3491512058056907
