,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
81,20180322,gchure,wt,O2,R260,500.0,11749.51740500172,260.0,0.9163531858755024
6,20180322,gchure,Q21A,O2,R124,1000.0,12151.187365613028,124.0,1.0373881248749657
17,20180322,gchure,Q21A,O2,R1220,1000.0,11651.881274367675,1220.0,0.9304140640401651
41,20180322,gchure,wt,O2,R260,1000.0,11756.826405614069,260.0,0.9528980814617577
48,20180322,gchure,auto,O2,R0,1000.0,7309.133079802847,0.0,0.0
63,20180322,gchure,Q21A,O2,R260,1000.0,12131.748560305357,260.0,1.0332234491820413
69,20180322,gchure,Q21A,O2,R60,1000.0,11845.56504280213,60.0,0.9719099311855947
80,20180322,gchure,delta,O2,R0,1000.0,11976.676663255554,0.0,1.0
8,20180322,gchure,Q21A,O2,R260,5000.0,11773.27871644479,260.0,1.0736244474232375
13,20180322,gchure,Q21A,O2,R60,5000.0,11546.432179284926,60.0,1.020536010793348
15,20180322,gchure,delta,O2,R0,5000.0,11458.681941544344,0.0,1.0
20,20180322,gchure,wt,O2,R260,5000.0,11106.310236489195,260.0,0.9175351620165871
24,20180322,gchure,auto,O2,R0,5000.0,7185.688582532031,0.0,0.0
64,20180322,gchure,Q21A,O2,R124,5000.0,11837.737831565652,124.0,1.0887096838617425
