,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
11,20180322,gchure,wt,O2,R260,0.0,7558.367129848559,260.0,0.0550420120789801
34,20180322,gchure,Q21A,O2,R60,0.0,12694.551351620366,60.0,0.7613356959848349
40,20180322,gchure,delta,O2,R0,0.0,14430.123763657166,0.0,1.0
42,20180322,gchure,Q21A,O2,R260,0.0,9191.802448248338,260.0,0.2796611064572832
59,20180322,gchure,Q21A,O2,R124,0.0,11758.961988809813,124.0,0.632679707579761
68,20180322,gchure,auto,O2,R0,0.0,7158.100328068247,0.0,0.0
75,20180322,gchure,Q21A,O2,R1220,0.0,8285.651272811392,1220.0,0.1550532605856256
0,20180322,gchure,Q21A,O2,R260,0.1,9316.769811214292,260.0,0.2690460411407424
5,20180322,gchure,Q21A,O2,R60,0.1,11895.758540278954,60.0,0.7854956056779946
25,20180322,gchure,auto,O2,R0,0.1,7973.237440685219,0.0,0.0
27,20180322,gchure,delta,O2,R0,0.1,12966.926865857802,0.0,1.0
38,20180322,gchure,Q21A,O2,R124,0.1,10836.556203627571,124.0,0.5733874334492469
43,20180322,gchure,wt,O2,R260,0.1,8088.104295464811,260.0,0.023002402632523053
53,20180322,gchure,Q21A,O2,R1220,0.1,8553.948110861282,1220.0,0.11628890400127227
2,20180322,gchure,Q21A,O2,R1220,5.0,8598.230045552591,1220.0,0.1641787719356266
19,20180322,gchure,auto,O2,R0,5.0,7778.58264495712,0.0,0.0
22,20180322,gchure,Q21A,O2,R124,5.0,11401.800395048685,124.0,0.7257455342788088
30,20180322,gchure,Q21A,O2,R260,5.0,10183.007799267378,260.0,0.481616325213743
45,20180322,gchure,Q21A,O2,R60,5.0,12832.49035988467,60.0,1.0123186647209363
49,20180322,gchure,delta,O2,R0,5.0,12770.990560621452,0.0,1.0
61,20180322,gchure,wt,O2,R260,5.0,8058.254984540179,260.0,0.0560195289142041
4,20180322,gchure,auto,O2,R0,10.0,7339.574508572624,0.0,0.0
28,20180322,gchure,delta,O2,R0,10.0,13665.694222343087,0.0,1.0
33,20180322,gchure,Q21A,O2,R124,10.0,11700.855589945098,124.0,0.6894085598600038
52,20180322,gchure,Q21A,O2,R60,10.0,12683.217212990365,60.0,0.8446951600972548
54,20180322,gchure,Q21A,O2,R1220,10.0,8817.522890571832,1220.0,0.23362636953930307
70,20180322,gchure,Q21A,O2,R260,10.0,10544.876859521313,260.0,0.506677473075874
72,20180322,gchure,wt,O2,R260,10.0,8320.242477862457,260.0,0.1550188762876478
3,20180322,gchure,auto,O2,R0,25.0,7344.303554688013,0.0,0.0
31,20180322,gchure,Q21A,O2,R124,25.0,12163.969270579266,124.0,0.9130790641834624
32,20180322,gchure,delta,O2,R0,25.0,12622.779324145422,0.0,1.0
55,20180322,gchure,Q21A,O2,R60,25.0,12270.3071409806,60.0,0.9332246279874362
56,20180322,gchure,Q21A,O2,R1220,25.0,10120.739633484787,1220.0,0.5259920098263846
76,20180322,gchure,wt,O2,R260,25.0,9092.109009409878,260.0,0.3311193479062854
77,20180322,gchure,Q21A,O2,R260,25.0,11382.18326756922,260.0,0.7649707774061211
14,20180322,gchure,Q21A,O2,R60,50.0,12389.605452847081,60.0,0.929589796034958
16,20180322,gchure,Q21A,O2,R1220,50.0,11130.090966119884,1220.0,0.706280104562989
36,20180322,gchure,wt,O2,R260,50.0,10329.207090585589,260.0,0.5642848095226272
37,20180322,gchure,Q21A,O2,R260,50.0,12193.908279312314,260.0,0.8948930331914111
46,20180322,gchure,auto,O2,R0,50.0,7146.519910512798,0.0,0.0
78,20180322,gchure,delta,O2,R0,50.0,12786.734083148911,0.0,1.0
82,20180322,gchure,Q21A,O2,R124,50.0,12480.204635346354,124.0,0.9456528708981113
12,20180322,gchure,auto,O2,R0,75.0,7247.556262354662,0.0,0.0
21,20180322,gchure,Q21A,O2,R124,75.0,12616.436842564173,124.0,1.0764595472633178
26,20180322,gchure,delta,O2,R0,75.0,12235.092109715402,0.0,1.0
47,20180322,gchure,Q21A,O2,R1220,75.0,11565.8986134768,1220.0,0.8658268297775303
50,20180322,gchure,Q21A,O2,R60,75.0,12468.702748998385,60.0,1.0468388892696585
65,20180322,gchure,Q21A,O2,R260,75.0,12322.236120629863,260.0,1.017472357809834
66,20180322,gchure,wt,O2,R260,75.0,10784.319068216619,260.0,0.709120277848932
23,20180322,gchure,Q21A,O2,R1220,100.0,11573.203541138122,1220.0,0.851018352232459
35,20180322,gchure,wt,O2,R260,100.0,11188.580332731108,260.0,0.7763906289043213
44,20180322,gchure,Q21A,O2,R124,100.0,12594.45469744703,124.0,1.0491698081916938
57,20180322,gchure,delta,O2,R0,100.0,12341.038828115315,0.0,1.0
58,20180322,gchure,auto,O2,R0,100.0,7187.147067062556,0.0,0.0
74,20180322,gchure,Q21A,O2,R60,100.0,12435.548257956485,60.0,1.0183374882948384
79,20180322,gchure,Q21A,O2,R260,100.0,12262.033131533577,260.0,0.9846706721358075
7,20180322,gchure,Q21A,O2,R1220,250.0,11709.381210656715,1220.0,0.8808338376080567
18,20180322,gchure,wt,O2,R260,250.0,11573.10290450325,260.0,0.8541164617084446
51,20180322,gchure,Q21A,O2,R60,250.0,12374.399846303844,60.0,1.011210809338416
60,20180322,gchure,Q21A,O2,R260,250.0,12562.640719658733,260.0,1.0481154518677287
62,20180322,gchure,Q21A,O2,R124,250.0,12507.356247784157,124.0,1.0372769254861252
71,20180322,gchure,delta,O2,R0,250.0,12317.216456999846,0.0,1.0
73,20180322,gchure,auto,O2,R0,250.0,7216.47951840539,0.0,0.0
1,20180322,gchure,Q21A,O2,R124,500.0,12397.431590726823,124.0,1.0473309759470946
9,20180322,gchure,delta,O2,R0,500.0,12163.2971567623,0.0,1.0
10,20180322,gchure,auto,O2,R0,500.0,7216.548663212708,0.0,0.0
29,20180322,gchure,Q21A,O2,R60,500.0,12273.274801217956,60.0,1.0222323096876793
39,20180322,gchure,Q21A,O2,R260,500.0,12203.673234920807,260.0,1.0081621449344262
67,20180322,gchure,Q21A,O2,R1220,500.0,11642.790110413715,1220.0,0.8947779441329368
