ep_R_wt,ep_R_Q21M,ep_R_Q21A,ep_R_Y20I,logp,sigma_wt,sigma_Q21M,sigma_Q21A,sigma_Y20I
-14.639612441346513,-15.691371732538816,-10.428008881224775,-9.624669493529803,-9.001184913999642,0.017721274927243923,0.0200396953526286,0.09265493328466681,0.1105118559932118
-14.739751381603662,-15.03856667881429,-10.352983645679615,-9.56210194850852,-9.130125452347071,0.014702164110794896,0.020040988264975555,0.08130902865979843,0.1344650878848752
-14.174824561958761,-15.47517319382638,-10.34720542263408,-9.701956189941587,-8.693206610268643,0.014631128983970872,0.018410991088567457,0.07235186608049746,0.12605132900073948
-14.397940678470759,-16.414658676106228,-10.05777880891422,-9.672988365092001,-10.308667264690861,0.013342534715660897,0.021527143722737885,0.11637061633249246,0.14790825035417898
-14.335672150744696,-15.880109129934604,-10.284196123349098,-9.550274853540948,-9.080512271252807,0.013836830347437988,0.01767763656582997,0.09605322334507792,0.1211226013723389
-14.130416078343382,-17.005752901186437,-10.27457682655166,-9.5857301894221,-8.90656569827255,0.011104457495064033,0.021254655506826932,0.08964972772808795,0.10802680188038198
-14.249468604248731,-16.343510572652967,-10.120239131055547,-9.529653403134137,-9.54893534977144,0.01793686956000065,0.02240640311124463,0.11378667636643362,0.11102476833885233
-14.55414172055595,-21.552775510410562,-10.3907005389917,-9.584141925790435,-10.389411660992424,0.012787892655408067,0.020659083112068374,0.08605795495104428,0.13493761708091112
-14.319453469960878,-17.511496753627984,-10.336027585555609,-9.780802944896934,-8.912696515697846,0.01621328554282888,0.01843104620886341,0.08584597729111691,0.10535803104910103
-14.055081506522844,-14.958748883424814,-10.315962900935437,-9.930376776976328,-9.35930627070423,0.020071905698021364,0.022289276844896084,0.1072957684448942,0.11458563519967997
-14.392330020084156,-18.203426732470046,-10.194753711115574,-9.815114354380784,-9.919510865419953,0.011213242822066906,0.018184896035230796,0.09375501269135605,0.14397995122745452
-14.761095229543637,-15.502575154868934,-10.200069030906356,-9.686637709840296,-8.70330148168075,0.018451399311841123,0.020939389083044296,0.07393903187895332,0.11318813434290162
-14.002085597340905,-15.459110539434725,-10.23074233702448,-9.606543800707358,-9.361713015337626,0.018851597948537708,0.01764083878181118,0.08181126904484028,0.14736962451181118
-14.925285161258468,-26.716577232580686,-10.364545691123832,-9.506820963801887,-12.068537882613068,0.013198237317533003,0.020420384201282313,0.12506291654009047,0.11690109609900796
-14.591331789777145,-16.904192655940353,-10.300347144932445,-9.871289515636537,-10.593587260720865,0.013385904024803557,0.0226621979590008,0.1064965279584247,0.16112126262388443
-14.432448733763039,-15.921562808647277,-10.345790622513592,-9.749679476910492,-9.243298066684208,0.016559061816647975,0.019735551732138923,0.08886553305086775,0.1266723952357796
-14.220756386172143,-16.77925964619339,-10.068619104424062,-9.698871755274041,-9.179508006655084,0.013972997458111095,0.01944135067014139,0.10687444733644899,0.10624830132484353
-14.008380936775357,-15.328650396364052,-10.338177944935813,-9.737017429587791,-9.856636138822708,0.022750632457701273,0.019455910886937638,0.1078574131191356,0.13889525610840972
-14.66948913647944,-16.086369878674734,-10.19660609742874,-9.714116996452976,-9.441796624123162,0.018918298989400353,0.02039837818945521,0.07883977456632527,0.1393728891893619
-14.281270745573297,-16.034059467551643,-10.290512857974065,-9.587757991508962,-9.31857338857313,0.012591730066240049,0.016974991768295325,0.09707322339227883,0.13284265802555298
-14.279380541891765,-15.424658548283034,-10.228328315890083,-9.799096773668573,-8.32750058570846,0.012729287913078353,0.01781576361995657,0.08648948356076124,0.09898219755124897
-14.281187941089533,-16.756686521012995,-10.324936804791196,-10.005947074727777,-9.654771890384247,0.015627315532163885,0.01910503868259841,0.08190532083966331,0.1460381163407422
-14.14410212945854,-18.328192006108278,-10.2186224355568,-9.50673603238726,-10.588289447682662,0.012003455480477473,0.0228919087634729,0.105671394135871,0.15602590291418458
-14.365087455966755,-15.167858877788717,-10.228262258196372,-9.516605957713702,-9.41728200721714,0.012936564828711208,0.02005083101264469,0.09930868730233144,0.13522096798624014
